Id,EntryTime,ExitTime,EntryPrice,ExitPrice,Qty,TradePL,BaseStrategy,EntrySide,ExitSide,ExitReason,HoldMins,Commission,NetPL,GrossPL,Direction,Session
2,,2024-12-03 08:15:00,,,-1.0,23.75,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,19.71,23.75,Unknown,Unknown
4,,2024-12-03 09:15:00,,,1.0,43.75,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,39.71,43.75,Unknown,Unknown
6,,2024-12-04 03:30:00,,,-1.0,83.75,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,79.71,83.75,Unknown,Unknown
8,,2024-12-05 09:30:00,,,1.0,-127.5,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,-131.54,-127.5,Unknown,Unknown
10,,2024-12-06 03:15:00,,,-1.0,-60.0,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,-64.04,-60.0,Unknown,Unknown
12,,2024-12-06 05:15:00,,,1.0,20.0,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,15.96,20.0,Unknown,Unknown
14,,2024-12-06 08:45:00,,,-1.0,63.75,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,59.71,63.75,Unknown,Unknown
16,,2024-12-09 05:45:00,,,1.0,11.25,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,7.21,11.25,Unknown,Unknown
18,,2024-12-10 05:30:00,,,-1.0,-135.0,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,-139.04,-135.0,Unknown,Unknown
20,,2024-12-10 09:30:00,,,1.0,-28.75,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,-32.79,-28.75,Unknown,Unknown
22,,2024-12-11 04:15:00,,,-1.0,-93.75,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,-97.79,-93.75,Unknown,Unknown
24,,2024-12-11 09:30:00,,,1.0,-113.75,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,-117.79,-113.75,Unknown,Unknown
26,,2024-12-13 03:15:00,,,-1.0,-20.0,EMA_Inversion_33,Sell to Close,Sell to Close,Close,,4.04,-24.04,-20.0,Unknown,Unknown
28,,2024-12-16 09:30:00,,,1.0,-362.5,EMA_Inversion_33,Buy to Close,Buy to Close,Close,,4.04,-366.54,-362.5,Unknown,Unknown
