Id,EntryTime,ExitTime,EntryPrice,ExitPrice,Qty,TradePL,BaseStrategy,EntrySide,ExitSide,ExitReason,HoldMins,Commission,NetPL,GrossPL,Direction,Session
2,,2024-12-16 08:45:00,,,-1.0,58.75,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,54.71,58.75,Unknown,Unknown
4,,2024-12-17 08:15:00,,,-1.0,-56.25,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-60.29,-56.25,Unknown,Unknown
6,,2024-12-18 09:00:00,,,-1.0,-30.0,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-34.04,-30.0,Unknown,Unknown
8,,2024-12-18 10:45:00,,,1.0,-97.5,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-101.54,-97.5,Unknown,Unknown
10,,2024-12-19 08:00:00,,,-1.0,103.75,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,99.71,103.75,Unknown,Unknown
12,,2024-12-20 08:45:00,,,1.0,-125.0,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-129.04,-125.0,Unknown,Unknown
14,,2024-12-23 07:00:00,,,1.0,95.0,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,90.96,95.0,Unknown,Unknown
16,,2024-12-23 10:00:00,,,1.0,108.75,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,104.71,108.75,Unknown,Unknown
18,,2024-12-24 09:45:00,,,-1.0,62.5,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,58.46,62.5,Unknown,Unknown
20,,2024-12-26 11:45:00,,,1.0,-90.0,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-94.04,-90.0,Unknown,Unknown
22,,2024-12-27 09:45:00,,,1.0,81.25,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,77.21,81.25,Unknown,Unknown
24,,2024-12-30 09:00:00,,,1.0,151.25,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,147.21,151.25,Unknown,Unknown
26,,2024-12-31 10:15:00,,,-1.0,-63.75,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-67.79,-63.75,Unknown,Unknown
28,,2025-01-02 09:45:00,,,-1.0,-133.75,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-137.79,-133.75,Unknown,Unknown
30,,2025-01-03 11:15:00,,,-1.0,107.5,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,103.46,107.5,Unknown,Unknown
32,,2025-01-06 06:30:00,,,-1.0,81.25,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,77.21,81.25,Unknown,Unknown
34,,2025-01-07 10:15:00,,,-1.0,-100.0,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-104.04,-100.0,Unknown,Unknown
36,,2025-01-08 18:00:00,,,1.0,-60.0,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-64.04,-60.0,Unknown,Unknown
38,,2025-01-10 08:45:00,,,-1.0,-112.5,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-116.54,-112.5,Unknown,Unknown
40,,2025-01-13 11:00:00,,,1.0,-192.5,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-196.54,-192.5,Unknown,Unknown
42,,2025-01-14 08:45:00,,,1.0,-102.5,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-106.54,-102.5,Unknown,Unknown
44,,2025-01-15 07:00:00,,,-1.0,70.0,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,65.96,70.0,Unknown,Unknown
46,,2025-01-16 10:15:00,,,1.0,92.5,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,88.46,92.5,Unknown,Unknown
48,,2025-01-17 08:15:00,,,-1.0,80.0,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,75.96,80.0,Unknown,Unknown
50,,2025-01-20 08:45:00,,,1.0,-66.25,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-70.29,-66.25,Unknown,Unknown
52,,2025-01-20 20:00:00,,,-1.0,-185.0,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-189.04,-185.0,Unknown,Unknown
54,,2025-01-21 10:15:00,,,-1.0,-78.75,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-82.79,-78.75,Unknown,Unknown
56,,2025-01-22 10:15:00,,,-1.0,57.5,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,53.46,57.5,Unknown,Unknown
58,,2025-01-23 11:15:00,,,-1.0,66.25,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,62.21,66.25,Unknown,Unknown
60,,2025-01-24 09:45:00,,,1.0,-78.75,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-82.79,-78.75,Unknown,Unknown
62,,2025-01-27 06:00:00,,,1.0,193.75,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,189.71,193.75,Unknown,Unknown
64,,2025-01-27 10:00:00,,,1.0,-190.0,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-194.04,-190.0,Unknown,Unknown
66,,2025-01-28 10:00:00,,,-1.0,-156.25,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-160.29,-156.25,Unknown,Unknown
68,,2025-01-29 08:30:00,,,1.0,72.5,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,68.46,72.5,Unknown,Unknown
70,,2025-01-30 10:00:00,,,1.0,-132.5,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-136.54,-132.5,Unknown,Unknown
72,,2025-01-31 09:15:00,,,-1.0,-55.0,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-59.04,-55.0,Unknown,Unknown
74,,2025-02-04 10:15:00,,,-1.0,126.25,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,122.21,126.25,Unknown,Unknown
76,,2025-02-05 12:00:00,,,-1.0,103.75,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,99.71,103.75,Unknown,Unknown
78,,2025-02-06 09:30:00,,,1.0,-76.25,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-80.29,-76.25,Unknown,Unknown
80,,2025-02-10 09:45:00,,,-1.0,-17.5,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-21.54,-17.5,Unknown,Unknown
82,,2025-02-11 10:15:00,,,1.0,-100.0,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-104.04,-100.0,Unknown,Unknown
84,,2025-02-12 08:15:00,,,1.0,-72.5,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-76.54,-72.5,Unknown,Unknown
86,,2025-02-12 18:00:00,,,1.0,-246.25,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-250.29,-246.25,Unknown,Unknown
88,,2025-02-13 10:45:00,,,-1.0,147.5,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,143.46,147.5,Unknown,Unknown
90,,2025-02-14 10:15:00,,,1.0,-70.0,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,-74.04,-70.0,Unknown,Unknown
92,,2025-02-17 09:45:00,,,-1.0,-38.75,SuperSignal_v7_PreMarket45_43,Sell to Close,Sell to Close,Close,,4.04,-42.79,-38.75,Unknown,Unknown
94,,2025-02-18 14:15:00,,,1.0,90.0,SuperSignal_v7_PreMarket45_43,Buy to Close,Buy to Close,Close,,4.04,85.96,90.0,Unknown,Unknown
