Id,EntryTime,ExitTime,EntryPrice,ExitPrice,Qty,TradePL,BaseStrategy,EntrySide,ExitSide,ExitReason,HoldMins,Commission,NetPL,GrossPL,Direction,Session
2,,2024-12-16 18:00:00,,,-1.0,-21.25,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,-25.29,-21.25,Unknown,Unknown
4,,2024-12-17 14:45:00,,,-1.0,-82.5,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,-86.54,-82.5,Unknown,Unknown
6,,2024-12-17 16:00:00,,,1.0,-46.25,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,-50.29,-46.25,Unknown,Unknown
8,,2024-12-18 15:00:00,,,1.0,130.0,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,125.96,130.0,Unknown,Unknown
10,,2024-12-20 15:45:00,,,-1.0,-121.25,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,-125.29,-121.25,Unknown,Unknown
12,,2024-12-23 16:00:00,,,-1.0,126.25,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,122.21,126.25,Unknown,Unknown
14,,2024-12-26 18:00:00,,,-1.0,6.25,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,2.21,6.25,Unknown,Unknown
16,,2024-12-29 18:00:00,,,1.0,-78.75,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,-82.79,-78.75,Unknown,Unknown
18,,2024-12-30 18:00:00,,,-1.0,-76.25,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,-80.29,-76.25,Unknown,Unknown
20,,2024-12-31 14:15:00,,,1.0,167.5,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,163.46,167.5,Unknown,Unknown
22,,2025-01-02 18:00:00,,,1.0,-18.75,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,-22.79,-18.75,Unknown,Unknown
24,,2025-01-05 18:00:00,,,-1.0,95.0,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,90.96,95.0,Unknown,Unknown
26,,2025-01-06 16:00:00,,,1.0,98.75,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,94.71,98.75,Unknown,Unknown
28,,2025-01-08 12:30:00,,,-1.0,-167.5,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,-171.54,-167.5,Unknown,Unknown
30,,2025-01-08 18:00:00,,,-1.0,-10.0,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,-14.04,-10.0,Unknown,Unknown
32,,2025-01-12 18:00:00,,,1.0,106.25,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,102.21,106.25,Unknown,Unknown
34,,2025-01-14 16:15:00,,,1.0,-133.75,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,-137.79,-133.75,Unknown,Unknown
36,,2025-01-15 15:30:00,,,-1.0,108.75,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,104.71,108.75,Unknown,Unknown
38,,2025-01-16 16:15:00,,,1.0,92.5,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,88.46,92.5,Unknown,Unknown
40,,2025-01-19 18:00:00,,,-1.0,2.5,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,-1.54,2.5,Unknown,Unknown
42,,2025-01-21 16:15:00,,,-1.0,106.25,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,102.21,106.25,Unknown,Unknown
44,,2025-01-23 11:30:00,,,-1.0,56.25,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,52.21,56.25,Unknown,Unknown
46,,2025-01-27 15:00:00,,,-1.0,-125.0,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,-129.04,-125.0,Unknown,Unknown
48,,2025-01-29 13:15:00,,,1.0,93.75,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,89.71,93.75,Unknown,Unknown
50,,2025-01-30 15:45:00,,,-1.0,-88.75,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,-92.79,-88.75,Unknown,Unknown
52,,2025-01-31 14:45:00,,,1.0,131.25,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,127.21,131.25,Unknown,Unknown
54,,2025-02-05 16:00:00,,,-1.0,142.5,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,138.46,142.5,Unknown,Unknown
56,,2025-02-06 14:45:00,,,1.0,65.0,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,60.96,65.0,Unknown,Unknown
58,,2025-02-11 18:00:00,,,-1.0,1.25,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,-2.79,1.25,Unknown,Unknown
60,,2025-02-12 18:00:00,,,-1.0,80.0,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,75.96,80.0,Unknown,Unknown
62,,2025-02-16 18:00:00,,,1.0,-13.75,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,-17.79,-13.75,Unknown,Unknown
64,,2025-02-17 18:15:00,,,-1.0,-23.75,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,-27.79,-23.75,Unknown,Unknown
66,,2025-02-18 14:15:00,,,1.0,61.25,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,57.21,61.25,Unknown,Unknown
68,,2025-02-19 12:15:00,,,-1.0,65.0,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,60.96,65.0,Unknown,Unknown
70,,2025-02-24 16:00:00,,,1.0,97.5,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,93.46,97.5,Unknown,Unknown
72,,2025-02-25 15:30:00,,,1.0,-150.0,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,-154.04,-150.0,Unknown,Unknown
74,,2025-02-26 16:30:00,,,1.0,-173.75,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,-177.79,-173.75,Unknown,Unknown
76,,2025-02-28 16:00:00,,,-1.0,206.25,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,202.21,206.25,Unknown,Unknown
78,,2025-03-04 15:30:00,,,-1.0,252.5,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,248.46,252.5,Unknown,Unknown
80,,2025-03-05 14:15:00,,,-1.0,215.0,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,210.96,215.0,Unknown,Unknown
82,,2025-03-06 18:00:00,,,1.0,-82.5,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,-86.54,-82.5,Unknown,Unknown
84,,2025-03-07 13:45:00,,,1.0,-260.0,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,-264.04,-260.0,Unknown,Unknown
86,,2025-03-09 18:00:00,,,-1.0,13.75,SuperSignal_v7_RTH15_v43,Sell to Close,Sell to Close,Close,,4.04,9.71,13.75,Unknown,Unknown
88,,2025-03-12 18:00:00,,,1.0,-20.0,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,-24.04,-20.0,Unknown,Unknown
90,,2025-03-13 18:00:00,,,1.0,-53.75,SuperSignal_v7_RTH15_v43,Buy to Close,Buy to Close,Close,,4.04,-57.79,-53.75,Unknown,Unknown
