Id,EntryTime,ExitTime,EntryPrice,ExitPrice,Qty,TradePL,BaseStrategy,EntrySide,ExitSide,ExitReason,HoldMins,Commission,NetPL,GrossPL,Direction,Session
2,,2024-12-03 11:45:00,,,1.0,-50.0,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,-54.04,-50.0,Unknown,Unknown
4,,2024-12-03 16:15:00,,,-1.0,26.25,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,22.21,26.25,Unknown,Unknown
6,,2024-12-04 10:45:00,,,1.0,-41.25,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,-45.29,-41.25,Unknown,Unknown
8,,2024-12-04 13:30:00,,,-1.0,-27.5,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,-31.54,-27.5,Unknown,Unknown
10,,2024-12-04 15:15:00,,,-1.0,42.5,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,38.46,42.5,Unknown,Unknown
12,,2024-12-05 12:15:00,,,1.0,-35.0,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,-39.04,-35.0,Unknown,Unknown
14,,2024-12-05 16:30:00,,,1.0,63.75,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,59.71,63.75,Unknown,Unknown
16,,2024-12-06 12:45:00,,,-1.0,-73.75,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,-77.79,-73.75,Unknown,Unknown
18,,2024-12-06 16:00:00,,,1.0,-38.75,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,-42.79,-38.75,Unknown,Unknown
20,,2024-12-09 11:00:00,,,1.0,36.25,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,32.21,36.25,Unknown,Unknown
22,,2024-12-09 14:45:00,,,1.0,43.75,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,39.71,43.75,Unknown,Unknown
24,,2024-12-10 11:15:00,,,-1.0,-47.5,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,-51.54,-47.5,Unknown,Unknown
26,,2024-12-10 15:15:00,,,1.0,37.5,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,33.46,37.5,Unknown,Unknown
28,,2024-12-11 11:45:00,,,-1.0,47.5,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,43.46,47.5,Unknown,Unknown
30,,2024-12-11 16:00:00,,,-1.0,-28.75,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,-32.79,-28.75,Unknown,Unknown
32,,2024-12-12 10:45:00,,,1.0,-63.75,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,-67.79,-63.75,Unknown,Unknown
34,,2024-12-12 12:00:00,,,-1.0,-50.0,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,-54.04,-50.0,Unknown,Unknown
36,,2024-12-12 14:00:00,,,-1.0,-51.25,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,-55.29,-51.25,Unknown,Unknown
38,,2024-12-13 10:45:00,,,1.0,52.5,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,48.46,52.5,Unknown,Unknown
40,,2024-12-16 16:00:00,,,-1.0,6.25,SuperSignal_v7,Sell to Close,Sell to Close,Close,,4.04,2.21,6.25,Unknown,Unknown
42,,2024-12-17 11:15:00,,,1.0,-55.0,SuperSignal_v7,Buy to Close,Buy to Close,Close,,4.04,-59.04,-55.0,Unknown,Unknown
