Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,Session
2,,2024-11-27 08:15:00,,,,-1.0,1.0,23.75,23.75,4.04,19.71,4.75,23.75,19.71,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
4,,2024-11-27 10:45:00,,,,1.0,1.0,77.5,77.5,4.04,73.46,15.5,77.5,73.46,5.0,0.0,SuperSignal_v6,SuperSignal_v6(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
6,,2024-11-27 15:45:00,,,,1.0,1.0,27.5,27.5,4.04,23.46,5.5,27.5,23.46,5.0,0.0,SuperSignal_v6,SuperSignal_v6(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
8,,2024-11-28 05:00:00,,,,-1.0,1.0,15.0,15.0,4.04,10.96,3.0,15.0,10.96,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
10,,2024-11-28 09:30:00,,,,1.0,1.0,-8.75,-8.75,4.04,-12.79,-1.75,-8.75,-12.79,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
12,,2024-11-28 10:45:00,,,,-1.0,1.0,31.25,31.25,4.04,27.21,6.25,31.25,27.21,-5.0,0.0,SuperSignal_v6,SuperSignal_v6(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
14,,2024-11-28 18:15:00,,,,-1.0,1.0,-15.0,-15.0,4.04,-19.04,-3.0,-15.0,-19.04,-5.0,0.0,SuperSignal_v6,SuperSignal_v6(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
16,,2024-11-29 04:30:00,,,,-1.0,1.0,26.25,26.25,4.04,22.21,5.25,26.25,22.21,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
18,,2024-11-29 07:45:00,,,,1.0,1.0,30.0,30.0,4.04,25.96,6.0,30.0,25.96,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(BTO 1),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
20,,2024-11-29 09:30:00,,,,-1.0,1.0,-32.5,-32.5,4.04,-36.54,-6.5,-32.5,-36.54,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC -1(0.00)),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
22,,2024-12-02 03:30:00,,,,1.0,1.0,-88.75,-88.75,4.04,-92.79,-17.75,-88.75,-92.79,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(BTO 1),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
24,,2024-12-02 05:15:00,,,,-1.0,1.0,8.75,8.75,4.04,4.71,1.75,8.75,4.71,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
26,,2024-12-02 09:30:00,,,,1.0,1.0,-72.5,-72.5,4.04,-76.54,-14.5,-72.5,-76.54,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
28,,2024-12-02 14:15:00,,,,-1.0,1.0,10.0,10.0,4.04,5.96,2.0,10.0,5.96,-5.0,0.0,SuperSignal_v6,SuperSignal_v6(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
30,,2024-12-02 15:30:00,,,,-1.0,1.0,31.25,31.25,4.04,27.21,6.25,31.25,27.21,-5.0,0.0,SuperSignal_v6,SuperSignal_v6(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
32,,2024-12-03 08:15:00,,,,-1.0,1.0,11.25,11.25,4.04,7.21,2.25,11.25,7.21,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
34,,2024-12-03 09:15:00,,,,1.0,1.0,43.75,43.75,4.04,39.71,8.75,43.75,39.71,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(BTO 1),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
36,,2024-12-03 16:15:00,,,,-1.0,1.0,56.25,56.25,4.04,52.21,11.25,56.25,52.21,-5.0,0.0,SuperSignal_v6,SuperSignal_v6(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
38,,2024-12-04 10:45:00,,,,1.0,1.0,-65.0,-65.0,4.04,-69.04,-13.0,-65.0,-69.04,5.0,0.0,SuperSignal_v6,SuperSignal_v6(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
40,,2024-12-04 13:30:00,,,,-1.0,1.0,-27.5,-27.5,4.04,-31.54,-5.5,-27.5,-31.54,-5.0,0.0,SuperSignal_v6,SuperSignal_v6(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
42,,2024-12-04 15:15:00,,,,-1.0,1.0,42.5,42.5,4.04,38.46,8.5,42.5,38.46,-5.0,0.0,SuperSignal_v6,SuperSignal_v6(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
44,,2024-12-05 09:30:00,,,,1.0,1.0,-7.5,-7.5,4.04,-11.54,-1.5,-7.5,-11.54,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
46,,2024-12-05 13:30:00,,,,-1.0,1.0,-10.0,-10.0,4.04,-14.04,-2.0,-10.0,-14.04,-5.0,0.0,SuperSignal_v6,SuperSignal_v6(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
48,,2024-12-05 16:30:00,,,,1.0,1.0,53.75,53.75,4.04,49.71,10.75,53.75,49.71,5.0,0.0,SuperSignal_v6,SuperSignal_v6(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
50,,2024-12-06 05:15:00,,,,1.0,1.0,20.0,20.0,4.04,15.96,4.0,20.0,15.96,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(BTO 1),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
52,,2024-12-06 08:45:00,,,,-1.0,1.0,63.75,63.75,4.04,59.71,12.75,63.75,59.71,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
54,,2024-12-06 13:15:00,,,,1.0,1.0,-32.5,-32.5,4.04,-36.54,-6.5,-32.5,-36.54,5.0,0.0,SuperSignal_v6,SuperSignal_v6(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
56,,2024-12-06 16:00:00,,,,1.0,1.0,-38.75,-38.75,4.04,-42.79,-7.75,-38.75,-42.79,5.0,0.0,SuperSignal_v6,SuperSignal_v6(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
58,,2024-12-09 05:45:00,,,,1.0,1.0,52.5,52.5,4.04,48.46,10.5,52.5,48.46,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(52.50)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
60,,2024-12-10 05:30:00,,,,-1.0,1.0,-135.0,-135.0,4.04,-139.04,-27.0,-135.0,-139.04,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
62,,2024-12-10 09:30:00,,,,1.0,1.0,-28.75,-28.75,4.04,-32.79,-5.75,-28.75,-32.79,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
64,,2024-12-10 11:15:00,,,,-1.0,1.0,-37.5,-37.5,4.04,-41.54,-7.5,-37.5,-41.54,-5.0,0.0,SuperSignal_v6,SuperSignal_v6(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
66,,2024-12-10 15:15:00,,,,1.0,1.0,37.5,37.5,4.04,33.46,7.5,37.5,33.46,5.0,0.0,SuperSignal_v6,SuperSignal_v6(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
68,,2024-12-11 09:30:00,,,,1.0,1.0,-113.75,-113.75,4.04,-117.79,-22.75,-113.75,-117.79,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
70,,2024-12-11 11:45:00,,,,-1.0,1.0,101.25,101.25,4.04,97.21,20.25,101.25,97.21,-5.0,0.0,SuperSignal_v6,SuperSignal_v6(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
72,,2024-12-11 16:00:00,,,,-1.0,1.0,-28.75,-28.75,4.04,-32.79,-5.75,-28.75,-32.79,-5.0,0.0,SuperSignal_v6,SuperSignal_v6(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
74,,2024-12-12 12:00:00,,,,-1.0,1.0,-50.0,-50.0,4.04,-54.04,-10.0,-50.0,-54.04,-5.0,0.0,SuperSignal_v6,SuperSignal_v6(STC Opposing),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
76,,2024-12-12 14:00:00,,,,-1.0,1.0,-51.25,-51.25,4.04,-55.29,-10.25,-51.25,-55.29,-5.0,0.0,SuperSignal_v6,SuperSignal_v6(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
78,,2024-12-13 10:45:00,,,,1.0,1.0,70.0,70.0,4.04,65.96,14.0,70.0,65.96,5.0,0.0,SuperSignal_v6,SuperSignal_v6(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
80,,2024-12-16 09:30:00,,,,1.0,1.0,-70.0,-70.0,4.04,-74.04,-14.0,-70.0,-74.04,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
82,,2024-12-16 16:00:00,,,,-1.0,1.0,53.75,53.75,4.04,49.71,10.75,53.75,49.71,-5.0,0.0,SuperSignal_v6,SuperSignal_v6(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
84,,2024-12-17 09:30:00,,,,-1.0,1.0,-28.75,-28.75,4.04,-32.79,-5.75,-28.75,-32.79,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC -1(0.00)),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
86,,2024-12-17 11:15:00,,,,1.0,1.0,-16.25,-16.25,4.04,-20.29,-3.25,-16.25,-20.29,5.0,0.0,SuperSignal_v6,SuperSignal_v6(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
88,,2024-12-17 14:30:00,,,,-1.0,1.0,-63.75,-63.75,4.04,-67.79,-12.75,-63.75,-67.79,-5.0,0.0,SuperSignal_v6,SuperSignal_v6(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
90,,2024-12-17 15:45:00,,,,1.0,1.0,-33.75,-33.75,4.04,-37.79,-6.75,-33.75,-37.79,5.0,0.0,SuperSignal_v6,SuperSignal_v6(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
92,,2024-12-18 09:00:00,,,,1.0,1.0,33.75,33.75,4.04,29.71,6.75,33.75,29.71,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(68.75)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
94,,2024-12-18 09:30:00,,,,-1.0,1.0,-40.0,-40.0,4.04,-44.04,-8.0,-40.0,-44.04,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC -1(0.00)),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
96,,2024-12-18 15:00:00,,,,1.0,1.0,317.5,317.5,4.04,313.46,63.5,317.5,313.46,5.0,0.0,SuperSignal_v6,SuperSignal_v6(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
98,,2024-12-19 06:00:00,,,,1.0,1.0,1.25,1.25,4.04,-2.79,0.25,1.25,-2.79,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(52.50)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
100,,2024-12-19 06:15:00,,,,-1.0,1.0,18.75,18.75,4.04,14.71,3.75,18.75,14.71,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
102,,2024-12-19 09:00:00,,,,1.0,1.0,-72.5,-72.5,4.04,-76.54,-14.5,-72.5,-76.54,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(55.00)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
104,,2024-12-19 09:15:00,,,,-1.0,1.0,32.5,32.5,4.04,28.46,6.5,32.5,28.46,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
