Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,Session
2,,2024-12-16 08:45:00,,,,-1.0,1.0,58.75,58.75,4.04,54.71,11.75,58.75,54.71,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
4,,2024-12-17 08:15:00,,,,-1.0,1.0,-56.25,-56.25,4.04,-60.29,-11.25,-56.25,-60.29,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
6,,2024-12-18 09:00:00,,,,-1.0,1.0,-30.0,-30.0,4.04,-34.04,-6.0,-30.0,-34.04,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
8,,2024-12-18 10:45:00,,,,1.0,1.0,-97.5,-97.5,4.04,-101.54,-19.5,-97.5,-101.54,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
10,,2024-12-19 08:00:00,,,,-1.0,1.0,103.75,103.75,4.04,99.71,20.75,103.75,99.71,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
12,,2024-12-20 08:45:00,,,,1.0,1.0,-125.0,-125.0,4.04,-129.04,-25.0,-125.0,-129.04,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
14,,2024-12-23 07:00:00,,,,1.0,1.0,95.0,95.0,4.04,90.96,19.0,95.0,90.96,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
16,,2024-12-23 10:00:00,,,,1.0,1.0,108.75,108.75,4.04,104.71,21.75,108.75,104.71,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
18,,2024-12-24 09:45:00,,,,-1.0,1.0,62.5,62.5,4.04,58.46,12.5,62.5,58.46,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
20,,2024-12-26 11:45:00,,,,1.0,1.0,-90.0,-90.0,4.04,-94.04,-18.0,-90.0,-94.04,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
