Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,Session
2,,2024-12-03 08:15:00,,,,-1.0,1.0,23.75,23.75,4.04,19.71,4.75,23.75,19.71,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
4,,2024-12-03 09:15:00,,,,1.0,1.0,43.75,43.75,4.04,39.71,8.75,43.75,39.71,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(BTO 1),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
6,,2024-12-04 03:30:00,,,,-1.0,1.0,83.75,83.75,4.04,79.71,16.75,83.75,79.71,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
8,,2024-12-05 09:30:00,,,,1.0,1.0,-127.5,-127.5,4.04,-131.54,-25.5,-127.5,-131.54,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
10,,2024-12-06 03:15:00,,,,-1.0,1.0,-60.0,-60.0,4.04,-64.04,-12.0,-60.0,-64.04,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
12,,2024-12-06 05:15:00,,,,1.0,1.0,20.0,20.0,4.04,15.96,4.0,20.0,15.96,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(BTO 1),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
14,,2024-12-06 08:45:00,,,,-1.0,1.0,63.75,63.75,4.04,59.71,12.75,63.75,59.71,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
16,,2024-12-09 05:45:00,,,,1.0,1.0,11.25,11.25,4.04,7.21,2.25,11.25,7.21,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(52.50)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
18,,2024-12-10 05:30:00,,,,-1.0,1.0,-135.0,-135.0,4.04,-139.04,-27.0,-135.0,-139.04,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
20,,2024-12-10 09:30:00,,,,1.0,1.0,-28.75,-28.75,4.04,-32.79,-5.75,-28.75,-32.79,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
22,,2024-12-11 04:15:00,,,,-1.0,1.0,-93.75,-93.75,4.04,-97.79,-18.75,-93.75,-97.79,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
24,,2024-12-11 09:30:00,,,,1.0,1.0,-113.75,-113.75,4.04,-117.79,-22.75,-113.75,-117.79,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
