Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,Session
2,,2024-12-18 14:15:00,,,,-1.0,1.0,-70.0,-70.0,4.04,-74.04,-14.0,-70.0,-74.04,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
4,,2024-12-18 15:00:00,,,,1.0,1.0,120.0,120.0,4.04,115.96,24.0,120.0,115.96,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
6,,2024-12-19 18:00:00,,,,1.0,1.0,97.5,97.5,4.04,93.46,19.5,97.5,93.46,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Daily),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
8,,2024-12-20 11:15:00,,,,-1.0,1.0,206.25,206.25,4.04,202.21,41.25,206.25,202.21,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
10,,2024-12-23 16:00:00,,,,-1.0,1.0,88.75,88.75,4.04,84.71,17.75,88.75,84.71,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
12,,2024-12-26 18:00:00,,,,-1.0,1.0,6.25,6.25,4.04,2.21,1.25,6.25,2.21,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Daily),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
14,,2024-12-27 15:00:00,,,,1.0,1.0,-130.0,-130.0,4.04,-134.04,-26.0,-130.0,-134.04,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
16,,2024-12-29 18:00:00,,,,1.0,1.0,-78.75,-78.75,4.04,-82.79,-15.75,-78.75,-82.79,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Daily),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
18,,2024-12-30 16:15:00,,,,-1.0,1.0,-160.0,-160.0,4.04,-164.04,-32.0,-160.0,-164.04,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
20,,2024-12-31 12:45:00,,,,1.0,1.0,151.25,151.25,4.04,147.21,30.25,151.25,147.21,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
22,,2025-01-01 18:00:00,,,,1.0,1.0,-80.0,-80.0,4.04,-84.04,-16.0,-80.0,-84.04,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Daily),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
24,,2025-01-02 18:00:00,,,,1.0,1.0,-18.75,-18.75,4.04,-22.79,-3.75,-18.75,-22.79,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Daily),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
26,,2025-01-05 18:00:00,,,,-1.0,1.0,-18.75,-18.75,4.04,-22.79,-3.75,-18.75,-22.79,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Daily),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
28,,2025-01-06 16:00:00,,,,1.0,1.0,92.5,92.5,4.04,88.46,18.5,92.5,88.46,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
30,,2025-01-07 18:00:00,,,,1.0,1.0,5.0,5.0,4.04,0.96,1.0,5.0,0.96,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Daily),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
32,,2025-01-08 12:30:00,,,,-1.0,1.0,-180.0,-180.0,4.04,-184.04,-36.0,-180.0,-184.04,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
34,,2025-01-08 18:00:00,,,,-1.0,1.0,-70.0,-70.0,4.04,-74.04,-14.0,-70.0,-74.04,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Daily),,Sell to Close,Sell to Close,Close,Unknown,,Unknown
36,,2025-01-12 18:00:00,,,,1.0,1.0,106.25,106.25,4.04,102.21,21.25,106.25,102.21,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Daily),,Buy to Close,Buy to Close,Close,Unknown,,Unknown
