Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,StrategyBucket,Session,SLBreached,SLCorrection,AdjustedNetPL
8,,2024-12-05 09:30:00,,,,1.0,1.0,-127.5,-127.5,4.04,-131.54,-20.0,-127.5,-131.54,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,True,31.539999999999992,-100.0
20,,2024-12-10 09:30:00,,,,1.0,1.0,-28.75,-28.75,4.04,-32.79,-6.558,-28.75,-32.79,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,False,0.0,-32.79
24,,2024-12-11 09:30:00,,,,1.0,1.0,-113.75,-113.75,4.04,-117.79,-20.0,-113.75,-117.79,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,True,17.790000000000006,-100.0
28,,2024-12-16 09:30:00,,,,1.0,1.0,-362.5,-362.5,4.04,-366.54,-20.0,-362.5,-366.54,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,True,266.54,-100.0
30,,2024-12-17 09:30:00,,,,-1.0,1.0,-85.0,-85.0,4.04,-89.04,-17.808,-85.0,-89.04,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC -1(0.00)),,Sell to Close,Sell to Close,Close,Unknown,,Other,Unknown,False,0.0,-89.04
34,,2024-12-18 09:30:00,,,,-1.0,1.0,-40.0,-40.0,4.04,-44.04,-8.808,-40.0,-44.04,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC -1(0.00)),,Sell to Close,Sell to Close,Close,Unknown,,Other,Unknown,False,0.0,-44.04
44,,2024-12-19 09:30:00,,,,1.0,1.0,-13.75,-13.75,4.04,-17.79,-3.558,-13.75,-17.79,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,False,0.0,-17.79
56,,2024-12-20 09:30:00,,,,1.0,1.0,-8.75,-8.75,4.04,-12.79,-2.558,-8.75,-12.79,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,False,0.0,-12.79
70,,2024-12-27 09:30:00,,,,-1.0,1.0,-121.25,-121.25,4.04,-125.29,-20.0,-121.25,-125.29,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC -1(0.00)),,Sell to Close,Sell to Close,Close,Unknown,,Other,Unknown,True,25.290000000000006,-100.0
92,,2025-01-03 09:30:00,,,,1.0,1.0,-42.5,-42.5,4.04,-46.54,-9.308,-42.5,-46.54,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,False,0.0,-46.54
100,,2025-01-07 09:30:00,,,,1.0,1.0,-90.0,-90.0,4.04,-94.04,-18.808,-90.0,-94.04,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,False,0.0,-94.04
148,,2025-01-15 09:30:00,,,,1.0,1.0,-326.25,-326.25,4.04,-330.29,-20.0,-326.25,-330.29,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,True,230.29000000000002,-100.0
164,,2025-01-20 09:30:00,,,,1.0,1.0,-92.5,-92.5,4.04,-96.54,-19.308,-92.5,-96.54,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,False,0.0,-96.54
168,,2025-01-21 09:30:00,,,,1.0,1.0,-96.25,-96.25,4.04,-100.29,-20.0,-96.25,-100.29,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,True,0.29000000000000625,-100.0
172,,2025-01-22 09:30:00,,,,1.0,1.0,-63.75,-63.75,4.04,-67.79,-13.558000000000002,-63.75,-67.79,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,False,0.0,-67.79
176,,2025-01-23 09:30:00,,,,1.0,1.0,-3.75,-3.75,4.04,-7.79,-1.558,-3.75,-7.79,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,False,0.0,-7.79
