Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,StrategyBucket,Session,SLBreached,SLCorrection,AdjustedNetPL
2,,2024-11-27 08:15:00,,,,-1.0,1.0,23.75,23.75,4.04,19.71,3.942,23.75,19.71,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Other,Unknown,False,0.0,19.71
4,,2024-11-27 10:45:00,,,,1.0,1.0,77.5,77.5,4.04,73.46,14.691999999999998,77.5,73.46,5.0,0.0,SuperSignal_v6,SuperSignal_v6(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,False,0.0,73.46
6,,2024-11-27 15:45:00,,,,1.0,1.0,27.5,27.5,4.04,23.46,4.692,27.5,23.46,5.0,0.0,SuperSignal_v6,SuperSignal_v6(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,False,0.0,23.46
8,,2024-11-28 05:00:00,,,,-1.0,1.0,15.0,15.0,4.04,10.96,2.192,15.0,10.96,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Other,Unknown,False,0.0,10.96
10,,2024-11-28 09:30:00,,,,1.0,1.0,-8.75,-8.75,4.04,-12.79,-2.558,-8.75,-12.79,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,False,0.0,-12.79
12,,2024-11-28 10:45:00,,,,-1.0,1.0,31.25,31.25,4.04,27.21,5.442,31.25,27.21,-5.0,0.0,SuperSignal_v6,SuperSignal_v6(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Other,Unknown,False,0.0,27.21
14,,2024-11-28 18:15:00,,,,-1.0,1.0,-15.0,-15.0,4.04,-19.04,-3.808,-15.0,-19.04,-5.0,0.0,SuperSignal_v6,SuperSignal_v6(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Other,Unknown,False,0.0,-19.04
16,,2024-11-29 04:30:00,,,,-1.0,1.0,26.25,26.25,4.04,22.21,4.442,26.25,22.21,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Other,Unknown,False,0.0,22.21
18,,2024-11-29 07:45:00,,,,1.0,1.0,30.0,30.0,4.04,25.96,5.192,30.0,25.96,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(BTO 1),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,False,0.0,25.96
20,,2024-11-29 09:30:00,,,,-1.0,1.0,-32.5,-32.5,4.04,-36.54,-7.308,-32.5,-36.54,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC -1(0.00)),,Sell to Close,Sell to Close,Close,Unknown,,Other,Unknown,False,0.0,-36.54
22,,2024-12-02 03:30:00,,,,1.0,1.0,-88.75,-88.75,4.04,-92.79,-18.558,-88.75,-92.79,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(BTO 1),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,False,0.0,-92.79
24,,2024-12-02 05:15:00,,,,-1.0,1.0,8.75,8.75,4.04,4.71,0.942,8.75,4.71,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STO -1),,Sell to Close,Sell to Close,Close,Unknown,,Other,Unknown,False,0.0,4.71
26,,2024-12-02 09:30:00,,,,1.0,1.0,-72.5,-72.5,4.04,-76.54,-15.308000000000002,-72.5,-76.54,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,False,0.0,-76.54
28,,2024-12-02 14:15:00,,,,-1.0,1.0,10.0,10.0,4.04,5.96,1.192,10.0,5.96,-5.0,0.0,SuperSignal_v6,SuperSignal_v6(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Other,Unknown,False,0.0,5.96
