Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,StrategyBucket,Session,SLBreached,SLCorrection,AdjustedNetPL
398,,2025-05-01 10:15:00,,,,1.0,1.0,-108.75,-108.75,4.04,-112.79,-20.0,-108.75,-112.79,5.0,0.0,SuperSignal_v7,SuperSignal_v7(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,True,12.790000000000006,-100.0
82,,2025-01-02 10:30:00,,,,-1.0,1.0,-136.25,-136.25,4.04,-140.29,-20.0,-136.25,-140.29,-5.0,0.0,SuperSignal_v7,SuperSignal_v7(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Other,Unknown,True,40.28999999999999,-100.0
384,,2025-04-25 12:30:00,,,,1.0,1.0,-168.75,-168.75,4.04,-172.79,-20.0,-168.75,-172.79,5.0,0.0,SuperSignal_v7,SuperSignal_v7(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,True,72.78999999999999,-100.0
86,,2025-01-02 15:45:00,,,,1.0,1.0,-125.0,-125.0,4.04,-129.04,-20.0,-125.0,-129.04,5.0,0.0,SuperSignal_v7,SuperSignal_v7(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,True,29.039999999999992,-100.0
382,,2025-04-25 10:15:00,,,,1.0,1.0,-120.0,-120.0,4.04,-124.04,-20.0,-120.0,-124.04,5.0,0.0,SuperSignal_v7,SuperSignal_v7(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,True,24.040000000000006,-100.0
524,,2025-06-13 10:45:00,,,,1.0,1.0,-108.75,-108.75,4.04,-112.79,-20.0,-108.75,-112.79,5.0,0.0,SuperSignal_v7,SuperSignal_v7(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,True,12.790000000000006,-100.0
526,,2025-06-13 14:30:00,,,,-1.0,1.0,-127.5,-127.5,4.04,-131.54,-20.0,-127.5,-131.54,-5.0,0.0,SuperSignal_v7,SuperSignal_v7(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Other,Unknown,True,31.539999999999992,-100.0
652,,2025-08-01 13:00:00,,,,1.0,1.0,-105.0,-105.0,4.04,-109.04,-20.0,-105.0,-109.04,5.0,0.0,SuperSignal_v7,SuperSignal_v7(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,True,9.040000000000006,-100.0
98,,2025-01-08 11:45:00,,,,1.0,1.0,-117.5,-117.5,4.04,-121.54,-20.0,-117.5,-121.54,5.0,0.0,SuperSignal_v7,SuperSignal_v7(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,True,21.540000000000006,-100.0
100,,2025-01-08 13:15:00,,,,1.0,1.0,-122.5,-122.5,4.04,-126.54,-20.0,-122.5,-126.54,5.0,0.0,SuperSignal_v7,SuperSignal_v7(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,True,26.540000000000006,-100.0
