Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,StrategyBucket,Session,SLBreached,SLCorrection,AdjustedNetPL
2,,2024-12-03 11:45:00,,,,1.0,1.0,-50.0,-50.0,4.04,-54.04,-10.808,-50.0,-54.04,5.0,0.0,SuperSignal_v7,SuperSignal_v7(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,False,0.0,-54.04
4,,2024-12-03 16:15:00,,,,-1.0,1.0,26.25,26.25,4.04,22.21,4.442,26.25,22.21,-5.0,0.0,SuperSignal_v7,SuperSignal_v7(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Other,Unknown,False,0.0,22.21
6,,2024-12-04 10:45:00,,,,1.0,1.0,-41.25,-41.25,4.04,-45.29,-9.058,-41.25,-45.29,5.0,0.0,SuperSignal_v7,SuperSignal_v7(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,False,0.0,-45.29
8,,2024-12-04 13:30:00,,,,-1.0,1.0,-27.5,-27.5,4.04,-31.54,-6.308,-27.5,-31.54,-5.0,0.0,SuperSignal_v7,SuperSignal_v7(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Other,Unknown,False,0.0,-31.54
10,,2024-12-04 15:15:00,,,,-1.0,1.0,42.5,42.5,4.04,38.46,7.692,42.5,38.46,-5.0,0.0,SuperSignal_v7,SuperSignal_v7(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Other,Unknown,False,0.0,38.46
12,,2024-12-05 12:15:00,,,,1.0,1.0,-35.0,-35.0,4.04,-39.04,-7.808,-35.0,-39.04,5.0,0.0,SuperSignal_v7,SuperSignal_v7(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,False,0.0,-39.04
14,,2024-12-05 16:30:00,,,,1.0,1.0,63.75,63.75,4.04,59.71,11.942,63.75,59.71,5.0,0.0,SuperSignal_v7,SuperSignal_v7(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,False,0.0,59.71
16,,2024-12-06 12:45:00,,,,-1.0,1.0,-73.75,-73.75,4.04,-77.79,-15.558000000000002,-73.75,-77.79,-5.0,0.0,SuperSignal_v7,SuperSignal_v7(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Other,Unknown,False,0.0,-77.79
18,,2024-12-06 16:00:00,,,,1.0,1.0,-38.75,-38.75,4.04,-42.79,-8.558,-38.75,-42.79,5.0,0.0,SuperSignal_v7,SuperSignal_v7(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,False,0.0,-42.79
20,,2024-12-09 11:00:00,,,,1.0,1.0,36.25,36.25,4.04,32.21,6.442,36.25,32.21,5.0,0.0,SuperSignal_v7,SuperSignal_v7(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,False,0.0,32.21
22,,2024-12-09 14:45:00,,,,1.0,1.0,43.75,43.75,4.04,39.71,7.942,43.75,39.71,5.0,0.0,SuperSignal_v7,SuperSignal_v7(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,False,0.0,39.71
24,,2024-12-10 11:15:00,,,,-1.0,1.0,-47.5,-47.5,4.04,-51.54,-10.308,-47.5,-51.54,-5.0,0.0,SuperSignal_v7,SuperSignal_v7(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Other,Unknown,False,0.0,-51.54
26,,2024-12-10 15:15:00,,,,1.0,1.0,37.5,37.5,4.04,33.46,6.692,37.5,33.46,5.0,0.0,SuperSignal_v7,SuperSignal_v7(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,False,0.0,33.46
28,,2024-12-11 11:45:00,,,,-1.0,1.0,47.5,47.5,4.04,43.46,8.692,47.5,43.46,-5.0,0.0,SuperSignal_v7,SuperSignal_v7(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Other,Unknown,False,0.0,43.46
30,,2024-12-11 16:00:00,,,,-1.0,1.0,-28.75,-28.75,4.04,-32.79,-6.558,-28.75,-32.79,-5.0,0.0,SuperSignal_v7,SuperSignal_v7(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Other,Unknown,False,0.0,-32.79
