Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,StrategyBucket,Session,SLBreached,SLCorrection,AdjustedNetPL
2,,2024-12-19 10:30:00,,,,-1.0,1.0,-125.0,-125.0,4.04,-129.04,-20.0,-125.0,-129.04,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC LossLimit),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,True,29.039999999999992,-100.0
132,,2025-04-02 10:30:00,,,,1.0,1.0,-111.25,-111.25,4.04,-115.29,-20.0,-111.25,-115.29,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC LossLimit),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,True,15.290000000000006,-100.0
182,,2025-05-14 11:15:00,,,,-1.0,1.0,-113.75,-113.75,4.04,-117.79,-20.0,-113.75,-117.79,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,True,17.790000000000006,-100.0
76,,2025-02-25 10:00:00,,,,-1.0,1.0,-156.25,-156.25,4.04,-160.29,-20.0,-156.25,-160.29,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,True,60.28999999999999,-100.0
78,,2025-02-26 09:45:00,,,,-1.0,1.0,-97.5,-97.5,4.04,-101.54,-20.0,-97.5,-101.54,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,True,1.5400000000000063,-100.0
180,,2025-05-12 09:45:00,,,,-1.0,1.0,-190.0,-190.0,4.04,-194.04,-20.0,-190.0,-194.04,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC LossLimit),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,True,94.03999999999999,-100.0
82,,2025-02-28 10:30:00,,,,1.0,1.0,-137.5,-137.5,4.04,-141.54,-20.0,-137.5,-141.54,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC LossLimit),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,True,41.53999999999999,-100.0
84,,2025-03-03 10:00:00,,,,-1.0,1.0,-126.25,-126.25,4.04,-130.29,-20.0,-126.25,-130.29,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,True,30.289999999999992,-100.0
178,,2025-05-09 10:45:00,,,,-1.0,1.0,-101.25,-101.25,4.04,-105.29,-20.0,-101.25,-105.29,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC LossLimit),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,True,5.290000000000006,-100.0
172,,2025-05-05 10:45:00,,,,1.0,1.0,-116.25,-116.25,4.04,-120.29,-20.0,-116.25,-120.29,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,True,20.290000000000006,-100.0
