Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,StrategyBucket,Session,SLBreached,SLCorrection,AdjustedNetPL
2,,2024-12-19 10:30:00,,,,-1.0,1.0,-125.0,-125.0,4.04,-129.04,-20.0,-125.0,-129.04,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC LossLimit),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,True,29.039999999999992,-100.0
4,,2024-12-20 08:45:00,,,,1.0,1.0,-87.5,-87.5,4.04,-91.54,-18.308,-87.5,-91.54,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC LossLimit),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,-91.54
6,,2024-12-23 10:15:00,,,,1.0,1.0,126.25,126.25,4.04,122.21,24.442,126.25,122.21,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,122.21
8,,2024-12-24 09:45:00,,,,-1.0,1.0,65.0,65.0,4.04,60.96,12.192,65.0,60.96,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,60.96
10,,2024-12-26 11:45:00,,,,1.0,1.0,-131.25,-131.25,4.04,-135.29,-20.0,-131.25,-135.29,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,True,35.28999999999999,-100.0
12,,2024-12-31 10:15:00,,,,-1.0,1.0,-100.0,-100.0,4.04,-104.04,-20.0,-100.0,-104.04,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,True,4.040000000000006,-100.0
14,,2025-01-02 09:45:00,,,,-1.0,1.0,-161.25,-161.25,4.04,-165.29,-20.0,-161.25,-165.29,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,True,65.28999999999999,-100.0
16,,2025-01-03 09:45:00,,,,-1.0,1.0,102.5,102.5,4.04,98.46,19.692,102.5,98.46,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,98.46
18,,2025-01-06 07:45:00,,,,-1.0,1.0,90.0,90.0,4.04,85.96,17.192,90.0,85.96,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,85.96
20,,2025-01-06 11:00:00,,,,-1.0,1.0,131.25,131.25,4.04,127.21,25.442,131.25,127.21,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,127.21
22,,2025-01-07 09:45:00,,,,-1.0,1.0,97.5,97.5,4.04,93.46,18.692,97.5,93.46,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,93.46
