Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,StrategyBucket,Session,SLBreached,SLCorrection,AdjustedNetPL
466,,2025-07-08 13:30:00,,,,-1.0,1.0,-102.5,-102.5,4.04,-106.54,-20.0,-102.5,-106.54,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,True,6.540000000000006,-100.0
388,,2025-06-02 10:15:00,,,,-1.0,1.0,-107.5,-107.5,4.04,-111.54,-20.0,-107.5,-111.54,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,True,11.540000000000006,-100.0
220,,2025-03-20 10:15:00,,,,1.0,1.0,-143.75,-143.75,4.04,-147.79,-20.0,-143.75,-147.79,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,True,47.78999999999999,-100.0
398,,2025-06-05 13:00:00,,,,-1.0,1.0,-173.75,-173.75,4.04,-177.79,-20.0,-173.75,-177.79,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,True,77.78999999999999,-100.0
412,,2025-06-11 14:15:00,,,,-1.0,1.0,-103.75,-103.75,4.04,-107.79,-20.0,-103.75,-107.79,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,True,7.790000000000006,-100.0
414,,2025-06-12 10:00:00,,,,1.0,1.0,-130.0,-130.0,4.04,-134.04,-20.0,-130.0,-134.04,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,True,34.03999999999999,-100.0
426,,2025-06-18 10:15:00,,,,1.0,1.0,-130.0,-130.0,4.04,-134.04,-20.0,-130.0,-134.04,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,True,34.03999999999999,-100.0
384,,2025-05-30 14:30:00,,,,1.0,1.0,-162.5,-162.5,4.04,-166.54,-20.0,-162.5,-166.54,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,True,66.53999999999999,-100.0
200,,2025-03-13 11:45:00,,,,-1.0,1.0,-306.25,-306.25,4.04,-310.29,-20.0,-306.25,-310.29,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,True,210.29000000000002,-100.0
444,,2025-06-27 16:00:00,,,,1.0,1.0,-131.25,-131.25,4.04,-135.29,-20.0,-131.25,-135.29,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,True,35.28999999999999,-100.0
