Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,StrategyBucket,Session,SLBreached,SLCorrection,AdjustedNetPL
198,,2025-04-29 11:00:00,,,,1.0,1.0,-125.0,-125.0,4.04,-129.04,-20.0,-125.0,-129.04,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,True,29.039999999999992,-100.0
202,,2025-05-01 09:45:00,,,,-1.0,1.0,-107.5,-107.5,4.04,-111.54,-20.0,-107.5,-111.54,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,True,11.540000000000006,-100.0
206,,2025-05-05 10:15:00,,,,1.0,1.0,-100.0,-100.0,4.04,-104.04,-20.0,-100.0,-104.04,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,True,4.040000000000006,-100.0
208,,2025-05-06 11:00:00,,,,1.0,1.0,-73.75,-73.75,4.04,-77.79,-15.558000000000002,-73.75,-77.79,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,-77.79
218,,2025-05-12 09:45:00,,,,-1.0,1.0,-161.25,-161.25,4.04,-165.29,-20.0,-161.25,-165.29,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,True,65.28999999999999,-100.0
224,,2025-05-15 10:15:00,,,,1.0,1.0,-131.25,-131.25,4.04,-135.29,-20.0,-131.25,-135.29,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,True,35.28999999999999,-100.0
226,,2025-05-16 10:45:00,,,,-1.0,1.0,-66.25,-66.25,4.04,-70.29,-14.058000000000002,-66.25,-70.29,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,-70.29
228,,2025-05-19 09:45:00,,,,1.0,1.0,-132.5,-132.5,4.04,-136.54,-20.0,-132.5,-136.54,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,True,36.53999999999999,-100.0
230,,2025-05-21 11:30:00,,,,1.0,1.0,-181.25,-181.25,4.04,-185.29,-20.0,-181.25,-185.29,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,True,85.28999999999999,-100.0
240,,2025-05-27 09:30:00,,,,-1.0,1.0,-107.5,-107.5,4.04,-111.54,-20.0,-107.5,-111.54,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,True,11.540000000000006,-100.0
248,,2025-06-02 10:15:00,,,,-1.0,1.0,-107.5,-107.5,4.04,-111.54,-20.0,-107.5,-111.54,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,True,11.540000000000006,-100.0
