Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,StrategyBucket,Session,SLBreached,SLCorrection,AdjustedNetPL
192,,2025-03-07 09:45:00,,,,1.0,1.0,-103.75,-103.75,4.04,-107.79,-20.0,-103.75,-107.79,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC LossLimit),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,True,7.790000000000006,-100.0
294,,2025-04-16 13:15:00,,,,-1.0,1.0,-212.5,-212.5,4.04,-216.54,-20.0,-212.5,-216.54,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,True,116.53999999999999,-100.0
288,,2025-04-14 11:30:00,,,,-1.0,1.0,-150.0,-150.0,4.04,-154.04,-20.0,-150.0,-154.04,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC LossLimit),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,True,54.03999999999999,-100.0
282,,2025-04-11 09:45:00,,,,1.0,1.0,-151.25,-151.25,4.04,-155.29,-20.0,-151.25,-155.29,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC LossLimit),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,True,55.28999999999999,-100.0
420,,2025-06-06 14:45:00,,,,1.0,1.0,-130.0,-130.0,4.04,-134.04,-20.0,-130.0,-134.04,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,True,34.03999999999999,-100.0
430,,2025-06-11 14:15:00,,,,-1.0,1.0,-165.0,-165.0,4.04,-169.04,-20.0,-165.0,-169.04,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,True,69.03999999999999,-100.0
130,,2025-02-07 10:15:00,,,,-1.0,1.0,-118.75,-118.75,4.04,-122.79,-20.0,-118.75,-122.79,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,True,22.790000000000006,-100.0
432,,2025-06-12 09:45:00,,,,1.0,1.0,-100.0,-100.0,4.04,-104.04,-20.0,-100.0,-104.04,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC LossLimit),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,True,4.040000000000006,-100.0
442,,2025-06-17 13:30:00,,,,-1.0,1.0,-116.25,-116.25,4.04,-120.29,-20.0,-116.25,-120.29,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,True,20.290000000000006,-100.0
446,,2025-06-18 10:15:00,,,,1.0,1.0,-121.25,-121.25,4.04,-125.29,-20.0,-121.25,-125.29,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,True,25.290000000000006,-100.0
