Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,StrategyBucket,Session,SLBreached,SLCorrection,AdjustedNetPL
2,,2024-12-18 14:15:00,,,,-1.0,1.0,-70.0,-70.0,4.04,-74.04,-14.808000000000002,-70.0,-74.04,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,False,0.0,-74.04
4,,2024-12-18 15:00:00,,,,1.0,1.0,120.0,120.0,4.04,115.96,23.192,120.0,115.96,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,False,0.0,115.96
6,,2024-12-19 10:30:00,,,,-1.0,1.0,-125.0,-125.0,4.04,-129.04,-20.0,-125.0,-129.04,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC LossLimit),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,True,29.039999999999992,-100.0
8,,2024-12-19 18:00:00,,,,1.0,1.0,66.25,66.25,4.04,62.21,12.442,66.25,62.21,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Daily),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,False,0.0,62.21
10,,2024-12-20 08:45:00,,,,1.0,1.0,-87.5,-87.5,4.04,-91.54,-18.308,-87.5,-91.54,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC LossLimit),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,False,0.0,-91.54
12,,2024-12-20 11:15:00,,,,-1.0,1.0,206.25,206.25,4.04,202.21,40.442,206.25,202.21,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,False,0.0,202.21
14,,2024-12-23 10:15:00,,,,1.0,1.0,126.25,126.25,4.04,122.21,24.442,126.25,122.21,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,False,0.0,122.21
16,,2024-12-23 16:00:00,,,,-1.0,1.0,88.75,88.75,4.04,84.71,16.942,88.75,84.71,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,False,0.0,84.71
18,,2024-12-24 09:45:00,,,,-1.0,1.0,65.0,65.0,4.04,60.96,12.192,65.0,60.96,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,False,0.0,60.96
20,,2024-12-26 11:45:00,,,,1.0,1.0,-131.25,-131.25,4.04,-135.29,-20.0,-131.25,-135.29,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,True,35.28999999999999,-100.0
22,,2024-12-27 15:00:00,,,,1.0,1.0,-130.0,-130.0,4.04,-134.04,-20.0,-130.0,-134.04,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,True,34.03999999999999,-100.0
24,,2024-12-29 18:00:00,,,,1.0,1.0,-78.75,-78.75,4.04,-82.79,-16.558,-78.75,-82.79,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Daily),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,False,0.0,-82.79
