Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,StrategyBucket,Session,SLBreached,SLCorrection,AdjustedNetPL
2,,2024-12-16 18:00:00,,,,-1.0,1.0,-21.25,-21.25,4.04,-25.29,-5.058,-21.25,-25.29,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Daily),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,False,0.0,-25.29
4,,2024-12-17 14:45:00,,,,-1.0,1.0,-82.5,-82.5,4.04,-86.54,-17.308,-82.5,-86.54,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,False,0.0,-86.54
6,,2024-12-17 16:00:00,,,,1.0,1.0,-46.25,-46.25,4.04,-50.29,-10.058,-46.25,-50.29,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,False,0.0,-50.29
8,,2024-12-18 15:00:00,,,,1.0,1.0,130.0,130.0,4.04,125.96,25.192,130.0,125.96,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,False,0.0,125.96
10,,2024-12-20 15:45:00,,,,-1.0,1.0,-121.25,-121.25,4.04,-125.29,-20.0,-121.25,-125.29,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,True,25.290000000000006,-100.0
12,,2024-12-23 16:00:00,,,,-1.0,1.0,126.25,126.25,4.04,122.21,24.442,126.25,122.21,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,False,0.0,122.21
14,,2024-12-26 18:00:00,,,,-1.0,1.0,6.25,6.25,4.04,2.21,0.442,6.25,2.21,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Daily),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,False,0.0,2.21
16,,2024-12-29 18:00:00,,,,1.0,1.0,-78.75,-78.75,4.04,-82.79,-16.558,-78.75,-82.79,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Daily),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,False,0.0,-82.79
18,,2024-12-30 18:00:00,,,,-1.0,1.0,-76.25,-76.25,4.04,-80.29,-16.058,-76.25,-80.29,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Daily),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,False,0.0,-80.29
20,,2024-12-31 14:15:00,,,,1.0,1.0,167.5,167.5,4.04,163.46,32.692,167.5,163.46,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,False,0.0,163.46
