Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,StrategyBucket,Session,SLBreached,SLCorrection,AdjustedNetPL
8,,2024-12-05 09:30:00,,,,1.0,1.0,-127.5,-127.5,4.04,-131.54,-20.0,-127.5,-131.54,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,True,31.539999999999992,-100.0
1184,,2025-08-13 09:30:00,,,,1.0,1.0,-330.0,-330.0,4.04,-334.04,-20.0,-330.0,-334.04,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,True,234.04000000000002,-100.0
984,,2025-06-13 09:30:00,,,,1.0,1.0,-120.0,-120.0,4.04,-124.04,-20.0,-120.0,-124.04,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,True,24.040000000000006,-100.0
824,,2025-05-13 09:30:00,,,,1.0,1.0,-98.75,-98.75,4.04,-102.79,-20.0,-98.75,-102.79,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,True,2.7900000000000063,-100.0
794,,2025-05-06 09:30:00,,,,-1.0,1.0,-242.5,-242.5,4.04,-246.54,-20.0,-242.5,-246.54,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC -1(0.00)),,Sell to Close,Sell to Close,Close,Unknown,,Other,Unknown,True,146.54,-100.0
756,,2025-04-24 09:30:00,,,,1.0,1.0,-120.0,-120.0,4.04,-124.04,-20.0,-120.0,-124.04,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,True,24.040000000000006,-100.0
668,,2025-04-14 09:30:00,,,,1.0,1.0,-145.0,-145.0,4.04,-149.04,-20.0,-145.0,-149.04,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,True,49.03999999999999,-100.0
658,,2025-04-11 09:30:00,,,,-1.0,1.0,-131.25,-131.25,4.04,-135.29,-20.0,-131.25,-135.29,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC -1(0.00)),,Sell to Close,Sell to Close,Close,Unknown,,Other,Unknown,True,35.28999999999999,-100.0
392,,2025-03-12 09:30:00,,,,1.0,1.0,-157.5,-157.5,4.04,-161.54,-20.0,-157.5,-161.54,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,True,61.53999999999999,-100.0
378,,2025-03-10 09:30:00,,,,-1.0,1.0,-96.25,-96.25,4.04,-100.29,-20.0,-96.25,-100.29,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC -1(0.00)),,Sell to Close,Sell to Close,Close,Unknown,,Other,Unknown,True,0.29000000000000625,-100.0
