Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,StrategyBucket,Session,SLBreached,SLCorrection,AdjustedNetPL
496,,2025-03-05 09:30:00,,,,-1.0,1.0,-108.75,-108.75,4.04,-112.79,-20.0,-108.75,-112.79,-5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC -1(0.00)),,Sell to Close,Sell to Close,Close,Unknown,,Other,Unknown,True,12.790000000000006,-100.0
1218,,2025-06-06 14:15:00,,,,1.0,1.0,-206.25,-206.25,4.04,-210.29,-20.0,-206.25,-210.29,5.0,0.0,SuperSignal_v6,SuperSignal_v6(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,True,110.28999999999999,-100.0
1028,,2025-05-07 15:45:00,,,,1.0,1.0,-218.75,-218.75,4.04,-222.79,-20.0,-218.75,-222.79,5.0,0.0,SuperSignal_v6,SuperSignal_v6(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,True,122.78999999999999,-100.0
1060,,2025-05-13 09:30:00,,,,1.0,1.0,-98.75,-98.75,4.04,-102.79,-20.0,-98.75,-102.79,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,True,2.7900000000000063,-100.0
1368,,2025-07-09 09:30:00,,,,1.0,1.0,-128.75,-128.75,4.04,-132.79,-20.0,-128.75,-132.79,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,True,32.78999999999999,-100.0
264,,2025-01-21 09:30:00,,,,1.0,1.0,-96.25,-96.25,4.04,-100.29,-20.0,-96.25,-100.29,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,True,0.29000000000000625,-100.0
554,,2025-03-12 09:30:00,,,,1.0,1.0,-157.5,-157.5,4.04,-161.54,-20.0,-157.5,-161.54,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,True,61.53999999999999,-100.0
242,,2025-01-15 09:30:00,,,,1.0,1.0,-397.5,-397.5,4.04,-401.54,-20.0,-397.5,-401.54,5.0,0.0,EMA_Inversion_33,EMA_Inversion_33(STC 1(0.00)),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,True,301.54,-100.0
442,,2025-02-25 15:15:00,,,,1.0,1.0,-100.0,-100.0,4.04,-104.04,-20.0,-100.0,-104.04,5.0,0.0,SuperSignal_v6,SuperSignal_v6(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,True,4.040000000000006,-100.0
498,,2025-03-05 10:15:00,,,,1.0,1.0,-108.75,-108.75,4.04,-112.79,-20.0,-108.75,-112.79,5.0,0.0,SuperSignal_v6,SuperSignal_v6(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,True,12.790000000000006,-100.0
