Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,StrategyBucket,Session,SLBreached,SLCorrection,AdjustedNetPL
336,,2025-04-07 10:15:00,,,,-1.0,1.0,530.0,530.0,4.04,525.96,105.19200000000001,530.0,525.96,-5.0,0.0,SuperSignal_v7,SuperSignal_v7(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Other,Unknown,False,0.0,525.96
332,,2025-04-04 13:30:00,,,,1.0,1.0,396.25,396.25,4.04,392.21,78.442,396.25,392.21,5.0,0.0,SuperSignal_v7,SuperSignal_v7(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,False,0.0,392.21
348,,2025-04-10 12:00:00,,,,1.0,1.0,377.5,377.5,4.04,373.46,74.692,377.5,373.46,5.0,0.0,SuperSignal_v7,SuperSignal_v7(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,False,0.0,373.46
338,,2025-04-07 14:30:00,,,,-1.0,1.0,346.25,346.25,4.04,342.21,68.442,346.25,342.21,-5.0,0.0,SuperSignal_v7,SuperSignal_v7(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Other,Unknown,False,0.0,342.21
354,,2025-04-11 13:45:00,,,,-1.0,1.0,340.0,340.0,4.04,335.96,67.192,340.0,335.96,-5.0,0.0,SuperSignal_v7,SuperSignal_v7(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Other,Unknown,False,0.0,335.96
330,,2025-04-04 11:00:00,,,,1.0,1.0,316.25,316.25,4.04,312.21,62.44199999999999,316.25,312.21,5.0,0.0,SuperSignal_v7,SuperSignal_v7(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,False,0.0,312.21
346,,2025-04-09 13:30:00,,,,-1.0,1.0,288.75,288.75,4.04,284.71,56.94199999999999,288.75,284.71,-5.0,0.0,SuperSignal_v7,SuperSignal_v7(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Other,Unknown,False,0.0,284.71
334,,2025-04-04 14:45:00,,,,1.0,1.0,270.0,270.0,4.04,265.96,53.19199999999999,270.0,265.96,5.0,0.0,SuperSignal_v7,SuperSignal_v7(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,False,0.0,265.96
342,,2025-04-08 12:45:00,,,,1.0,1.0,231.25,231.25,4.04,227.21,45.442,231.25,227.21,5.0,0.0,SuperSignal_v7,SuperSignal_v7(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,False,0.0,227.21
262,,2025-03-11 13:30:00,,,,1.0,1.0,230.0,230.0,4.04,225.96,45.192,230.0,225.96,5.0,0.0,SuperSignal_v7,SuperSignal_v7(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,False,0.0,225.96
