Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,StrategyBucket,Session,SLBreached,SLCorrection,AdjustedNetPL
138,,2025-04-04 13:30:00,,,,1.0,1.0,738.75,738.75,4.04,734.71,146.942,738.75,734.71,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,734.71
144,,2025-04-10 11:30:00,,,,1.0,1.0,460.0,460.0,4.04,455.96,91.192,460.0,455.96,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,455.96
142,,2025-04-08 10:15:00,,,,-1.0,1.0,383.75,383.75,4.04,379.71,75.942,383.75,379.71,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,379.71
134,,2025-04-03 11:15:00,,,,1.0,1.0,312.5,312.5,4.04,308.46,61.69199999999999,312.5,308.46,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,308.46
86,,2025-03-04 10:15:00,,,,1.0,1.0,286.25,286.25,4.04,282.21,56.44199999999999,286.25,282.21,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,282.21
110,,2025-03-17 13:45:00,,,,-1.0,1.0,285.0,285.0,4.04,280.96,56.19199999999999,285.0,280.96,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,280.96
96,,2025-03-10 10:45:00,,,,1.0,1.0,282.5,282.5,4.04,278.46,55.69199999999999,282.5,278.46,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,278.46
88,,2025-03-05 11:45:00,,,,1.0,1.0,263.75,263.75,4.04,259.71,51.94199999999999,263.75,259.71,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,259.71
100,,2025-03-11 10:45:00,,,,1.0,1.0,255.0,255.0,4.04,250.96,50.192,255.0,250.96,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,250.96
212,,2025-06-13 12:30:00,,,,-1.0,1.0,241.25,241.25,4.04,237.21,47.442,241.25,237.21,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,237.21
