Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,StrategyBucket,Session,SLBreached,SLCorrection,AdjustedNetPL
258,,2025-04-07 10:15:00,,,,-1.0,1.0,1248.75,1248.75,4.04,1244.71,248.942,1248.75,1244.71,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,1244.71
256,,2025-04-04 11:00:00,,,,1.0,1.0,542.5,542.5,4.04,538.46,107.69200000000001,542.5,538.46,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,538.46
260,,2025-04-08 10:15:00,,,,-1.0,1.0,380.0,380.0,4.04,375.96,75.192,380.0,375.96,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,375.96
208,,2025-03-17 14:15:00,,,,-1.0,1.0,365.0,365.0,4.04,360.96,72.192,365.0,360.96,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,360.96
262,,2025-04-08 12:45:00,,,,1.0,1.0,361.25,361.25,4.04,357.21,71.442,361.25,357.21,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,357.21
252,,2025-04-03 15:30:00,,,,1.0,1.0,345.0,345.0,4.04,340.96,68.192,345.0,340.96,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,340.96
192,,2025-03-10 10:15:00,,,,1.0,1.0,292.5,292.5,4.04,288.46,57.69199999999999,292.5,288.46,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,288.46
306,,2025-04-30 16:00:00,,,,-1.0,1.0,276.25,276.25,4.04,272.21,54.44199999999999,276.25,272.21,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,272.21
176,,2025-03-04 15:30:00,,,,-1.0,1.0,252.5,252.5,4.04,248.46,49.692,252.5,248.46,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,248.46
296,,2025-04-24 10:30:00,,,,-1.0,1.0,235.0,235.0,4.04,230.96,46.192,235.0,230.96,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,230.96
