Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,StrategyBucket,Session,SLBreached,SLCorrection,AdjustedNetPL
168,,2025-04-07 10:15:00,,,,-1.0,1.0,1248.75,1248.75,4.04,1244.71,248.942,1248.75,1244.71,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,1244.71
166,,2025-04-04 11:00:00,,,,1.0,1.0,542.5,542.5,4.04,538.46,107.69200000000001,542.5,538.46,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,538.46
170,,2025-04-08 10:15:00,,,,-1.0,1.0,380.0,380.0,4.04,375.96,75.192,380.0,375.96,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,375.96
132,,2025-03-17 14:15:00,,,,-1.0,1.0,365.0,365.0,4.04,360.96,72.192,365.0,360.96,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,360.96
162,,2025-04-03 15:30:00,,,,1.0,1.0,345.0,345.0,4.04,340.96,68.192,345.0,340.96,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,340.96
122,,2025-03-10 10:15:00,,,,1.0,1.0,292.5,292.5,4.04,288.46,57.69199999999999,292.5,288.46,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,288.46
192,,2025-04-24 10:30:00,,,,-1.0,1.0,235.0,235.0,4.04,230.96,46.192,235.0,230.96,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,230.96
330,,2025-08-01 10:00:00,,,,1.0,1.0,222.5,222.5,4.04,218.46,43.692,222.5,218.46,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,218.46
188,,2025-04-23 09:45:00,,,,-1.0,1.0,218.75,218.75,4.04,214.71,42.942,218.75,214.71,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,214.71
130,,2025-03-14 11:00:00,,,,-1.0,1.0,216.25,216.25,4.04,212.21,42.442,216.25,212.21,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,212.21
