Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,StrategyBucket,Session,SLBreached,SLCorrection,AdjustedNetPL
8,,2024-12-18 10:45:00,,,,1.0,1.0,-97.5,-97.5,4.04,-101.54,-20.0,-97.5,-101.54,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,True,1.5400000000000063,-100.0
112,,2025-03-03 09:45:00,,,,-1.0,1.0,-102.5,-102.5,4.04,-106.54,-20.0,-102.5,-106.54,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,True,6.540000000000006,-100.0
128,,2025-03-13 11:45:00,,,,-1.0,1.0,-306.25,-306.25,4.04,-310.29,-20.0,-306.25,-310.29,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,True,210.29000000000002,-100.0
142,,2025-03-20 10:15:00,,,,1.0,1.0,-143.75,-143.75,4.04,-147.79,-20.0,-143.75,-147.79,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,True,47.78999999999999,-100.0
156,,2025-03-31 11:30:00,,,,1.0,1.0,-150.0,-150.0,4.04,-154.04,-20.0,-150.0,-154.04,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,True,54.03999999999999,-100.0
172,,2025-04-09 10:15:00,,,,1.0,1.0,-835.0,-835.0,4.04,-839.04,-20.0,-835.0,-839.04,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,True,739.04,-100.0
174,,2025-04-11 13:15:00,,,,1.0,1.0,-481.25,-481.25,4.04,-485.29,-20.0,-481.25,-485.29,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,True,385.29,-100.0
368,,2025-08-27 11:15:00,,,,1.0,1.0,-96.25,-96.25,4.04,-100.29,-20.0,-96.25,-100.29,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,True,0.29000000000000625,-100.0
178,,2025-04-15 09:45:00,,,,1.0,1.0,-222.5,-222.5,4.04,-226.54,-20.0,-222.5,-226.54,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,True,126.53999999999999,-100.0
182,,2025-04-16 10:15:00,,,,-1.0,1.0,-196.25,-196.25,4.04,-200.29,-20.0,-196.25,-200.29,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,True,100.28999999999999,-100.0
