Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,StrategyBucket,Session,SLBreached,SLCorrection,AdjustedNetPL
2,,2024-12-16 08:45:00,,,,-1.0,1.0,58.75,58.75,4.04,54.71,10.942,58.75,54.71,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,54.71
4,,2024-12-17 08:15:00,,,,-1.0,1.0,-56.25,-56.25,4.04,-60.29,-12.058,-56.25,-60.29,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,-60.29
6,,2024-12-18 09:00:00,,,,-1.0,1.0,-30.0,-30.0,4.04,-34.04,-6.808,-30.0,-34.04,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,-34.04
8,,2024-12-18 10:45:00,,,,1.0,1.0,-97.5,-97.5,4.04,-101.54,-20.0,-97.5,-101.54,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,True,1.5400000000000063,-100.0
10,,2024-12-19 08:00:00,,,,-1.0,1.0,103.75,103.75,4.04,99.71,19.942,103.75,99.71,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,99.71
12,,2024-12-20 08:45:00,,,,1.0,1.0,-125.0,-125.0,4.04,-129.04,-20.0,-125.0,-129.04,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,True,29.039999999999992,-100.0
14,,2024-12-23 07:00:00,,,,1.0,1.0,95.0,95.0,4.04,90.96,18.192,95.0,90.96,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,90.96
16,,2024-12-23 10:00:00,,,,1.0,1.0,108.75,108.75,4.04,104.71,20.942,108.75,104.71,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,104.71
18,,2024-12-24 09:45:00,,,,-1.0,1.0,62.5,62.5,4.04,58.46,11.692,62.5,58.46,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,58.46
20,,2024-12-26 11:45:00,,,,1.0,1.0,-90.0,-90.0,4.04,-94.04,-18.808,-90.0,-94.04,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,-94.04
22,,2024-12-27 09:45:00,,,,1.0,1.0,81.25,81.25,4.04,77.21,15.441999999999998,81.25,77.21,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,77.21
24,,2024-12-30 09:00:00,,,,1.0,1.0,151.25,151.25,4.04,147.21,29.442,151.25,147.21,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,147.21
26,,2024-12-31 10:15:00,,,,-1.0,1.0,-63.75,-63.75,4.04,-67.79,-13.558000000000002,-63.75,-67.79,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,-67.79
28,,2025-01-02 09:45:00,,,,-1.0,1.0,-133.75,-133.75,4.04,-137.79,-20.0,-133.75,-137.79,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,True,37.78999999999999,-100.0
30,,2025-01-03 11:15:00,,,,-1.0,1.0,107.5,107.5,4.04,103.46,20.692,107.5,103.46,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,103.46
32,,2025-01-06 06:30:00,,,,-1.0,1.0,81.25,81.25,4.04,77.21,15.441999999999998,81.25,77.21,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,77.21
34,,2025-01-07 10:15:00,,,,-1.0,1.0,-100.0,-100.0,4.04,-104.04,-20.0,-100.0,-104.04,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,True,4.040000000000006,-100.0
36,,2025-01-08 18:00:00,,,,1.0,1.0,-60.0,-60.0,4.04,-64.04,-12.808000000000002,-60.0,-64.04,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Daily),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,-64.04
38,,2025-01-10 08:45:00,,,,-1.0,1.0,-112.5,-112.5,4.04,-116.54,-20.0,-112.5,-116.54,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,True,16.540000000000006,-100.0
40,,2025-01-13 11:00:00,,,,1.0,1.0,-192.5,-192.5,4.04,-196.54,-20.0,-192.5,-196.54,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,True,96.53999999999999,-100.0
42,,2025-01-14 08:45:00,,,,1.0,1.0,-102.5,-102.5,4.04,-106.54,-20.0,-102.5,-106.54,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,True,6.540000000000006,-100.0
44,,2025-01-15 07:00:00,,,,-1.0,1.0,70.0,70.0,4.04,65.96,13.191999999999998,70.0,65.96,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,65.96
46,,2025-01-16 10:15:00,,,,1.0,1.0,92.5,92.5,4.04,88.46,17.692,92.5,88.46,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,88.46
48,,2025-01-17 08:15:00,,,,-1.0,1.0,80.0,80.0,4.04,75.96,15.191999999999998,80.0,75.96,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,75.96
50,,2025-01-20 08:45:00,,,,1.0,1.0,-66.25,-66.25,4.04,-70.29,-14.058000000000002,-66.25,-70.29,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,-70.29
52,,2025-01-20 20:00:00,,,,-1.0,1.0,-185.0,-185.0,4.04,-189.04,-20.0,-185.0,-189.04,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,True,89.03999999999999,-100.0
54,,2025-01-21 10:15:00,,,,-1.0,1.0,-78.75,-78.75,4.04,-82.79,-16.558,-78.75,-82.79,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,-82.79
56,,2025-01-22 10:15:00,,,,-1.0,1.0,57.5,57.5,4.04,53.46,10.692,57.5,53.46,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,53.46
58,,2025-01-23 11:15:00,,,,-1.0,1.0,66.25,66.25,4.04,62.21,12.442,66.25,62.21,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Premarket45,Unknown,False,0.0,62.21
