Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,StrategyBucket,Session,SLBreached,SLCorrection,AdjustedNetPL
156,,2025-04-08 16:00:00,,,,1.0,1.0,1297.5,1297.5,4.04,1293.46,258.692,1297.5,1293.46,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,False,0.0,1293.46
158,,2025-04-09 14:30:00,,,,-1.0,1.0,785.0,785.0,4.04,780.96,156.192,785.0,780.96,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,False,0.0,780.96
160,,2025-04-10 12:15:00,,,,1.0,1.0,438.75,438.75,4.04,434.71,86.942,438.75,434.71,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,False,0.0,434.71
142,,2025-03-31 15:45:00,,,,-1.0,1.0,431.25,431.25,4.04,427.21,85.442,431.25,427.21,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,False,0.0,427.21
150,,2025-04-04 14:45:00,,,,1.0,1.0,425.0,425.0,4.04,420.96,84.192,425.0,420.96,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,False,0.0,420.96
104,,2025-03-03 15:30:00,,,,1.0,1.0,401.25,401.25,4.04,397.21,79.442,401.25,397.21,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,False,0.0,397.21
184,,2025-04-30 16:00:00,,,,-1.0,1.0,335.0,335.0,4.04,330.96,66.192,335.0,330.96,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,False,0.0,330.96
334,,2025-07-31 14:30:00,,,,1.0,1.0,210.0,210.0,4.04,205.96,41.192,210.0,205.96,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,False,0.0,205.96
102,,2025-02-28 16:00:00,,,,-1.0,1.0,210.0,210.0,4.04,205.96,41.192,210.0,205.96,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,False,0.0,205.96
202,,2025-05-08 13:00:00,,,,-1.0,1.0,208.75,208.75,4.04,204.71,40.942,208.75,204.71,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,False,0.0,204.71
