Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,StrategyBucket,Session,SLBreached,SLCorrection,AdjustedNetPL
276,,2025-04-08 16:00:00,,,,1.0,1.0,1297.5,1297.5,4.04,1293.46,258.692,1297.5,1293.46,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,False,0.0,1293.46
278,,2025-04-09 14:30:00,,,,-1.0,1.0,785.0,785.0,4.04,780.96,156.192,785.0,780.96,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,False,0.0,780.96
266,,2025-04-04 13:30:00,,,,1.0,1.0,738.75,738.75,4.04,734.71,146.942,738.75,734.71,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,False,0.0,734.71
280,,2025-04-10 11:30:00,,,,1.0,1.0,460.0,460.0,4.04,455.96,91.192,460.0,455.96,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,False,0.0,455.96
176,,2025-03-03 15:30:00,,,,1.0,1.0,401.25,401.25,4.04,397.21,79.442,401.25,397.21,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,False,0.0,397.21
274,,2025-04-08 10:15:00,,,,-1.0,1.0,383.75,383.75,4.04,379.71,75.942,383.75,379.71,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,False,0.0,379.71
324,,2025-04-30 16:00:00,,,,-1.0,1.0,335.0,335.0,4.04,330.96,66.192,335.0,330.96,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,False,0.0,330.96
260,,2025-04-03 11:15:00,,,,1.0,1.0,312.5,312.5,4.04,308.46,61.69199999999999,312.5,308.46,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,False,0.0,308.46
178,,2025-03-04 10:15:00,,,,1.0,1.0,286.25,286.25,4.04,282.21,56.44199999999999,286.25,282.21,5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,False,0.0,282.21
216,,2025-03-17 13:45:00,,,,-1.0,1.0,285.0,285.0,4.04,280.96,56.19199999999999,285.0,280.96,-5.0,0.0,SuperSignal_v7_PreMarket45_43,SuperSignal_v7_PreMarket45_43(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,False,0.0,280.96
