Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,StrategyBucket,Session,SLBreached,SLCorrection,AdjustedNetPL
2,,2025-01-08 12:30:00,,,,-1.0,1.0,-180.0,-180.0,4.04,-184.04,-20.0,-180.0,-184.04,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,True,84.03999999999999,-100.0
142,,2025-04-17 12:30:00,,,,1.0,1.0,-217.5,-217.5,4.04,-221.54,-20.0,-217.5,-221.54,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,True,121.53999999999999,-100.0
144,,2025-04-21 15:45:00,,,,1.0,1.0,-133.75,-133.75,4.04,-137.79,-20.0,-133.75,-137.79,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,True,37.78999999999999,-100.0
156,,2025-05-01 16:00:00,,,,-1.0,1.0,-162.5,-162.5,4.04,-166.54,-20.0,-162.5,-166.54,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,True,66.53999999999999,-100.0
164,,2025-05-07 11:00:00,,,,-1.0,1.0,-130.0,-130.0,4.04,-134.04,-20.0,-130.0,-134.04,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,True,34.03999999999999,-100.0
166,,2025-05-07 13:15:00,,,,1.0,1.0,-145.0,-145.0,4.04,-149.04,-20.0,-145.0,-149.04,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,True,49.03999999999999,-100.0
168,,2025-05-07 14:45:00,,,,1.0,1.0,-177.5,-177.5,4.04,-181.54,-20.0,-177.5,-181.54,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,True,81.53999999999999,-100.0
170,,2025-05-07 15:45:00,,,,1.0,1.0,-258.75,-258.75,4.04,-262.79,-20.0,-258.75,-262.79,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,True,162.79000000000002,-100.0
174,,2025-05-08 16:00:00,,,,-1.0,1.0,-118.75,-118.75,4.04,-122.79,-20.0,-118.75,-122.79,-5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(STC Stop),,Sell to Close,Sell to Close,Close,Unknown,,RTH15,Unknown,True,22.790000000000006,-100.0
186,,2025-05-16 12:15:00,,,,1.0,1.0,-115.0,-115.0,4.04,-119.04,-20.0,-115.0,-119.04,5.0,0.0,SuperSignal_v7_RTH15_v43,SuperSignal_v7_RTH15_v43(BTC Stop),,Buy to Close,Buy to Close,Close,Unknown,,RTH15,Unknown,True,19.040000000000006,-100.0
