Id,EntryTime,ExitTime,EntryPrice,ExitPrice,EntryQty,ExitQty,QtyAbs,TradePL,GrossPL,Commission,NetPL,PointsPerContract,GrossAmount,NetAmount,AmountExit,PositionAfterExit,BaseStrategy,StrategyRaw,Symbol,EntrySide,ExitSide,ExitReason,Direction,HoldMins,StrategyBucket,Session,SLBreached,SLCorrection,AdjustedNetPL
768,,2025-04-07 10:15:00,,,,-1.0,1.0,676.25,676.25,4.04,672.21,134.442,676.25,672.21,-5.0,0.0,SuperSignal_v6,SuperSignal_v6(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Other,Unknown,False,0.0,672.21
832,,2025-04-10 12:00:00,,,,1.0,1.0,607.5,607.5,4.04,603.46,120.69200000000001,607.5,603.46,5.0,0.0,SuperSignal_v6,SuperSignal_v6(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,False,0.0,603.46
742,,2025-04-04 11:00:00,,,,1.0,1.0,580.0,580.0,4.04,575.96,115.19200000000001,580.0,575.96,5.0,0.0,SuperSignal_v6,SuperSignal_v6(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,False,0.0,575.96
744,,2025-04-04 13:30:00,,,,1.0,1.0,396.25,396.25,4.04,392.21,78.442,396.25,392.21,5.0,0.0,SuperSignal_v6,SuperSignal_v6(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,False,0.0,392.21
770,,2025-04-07 14:30:00,,,,-1.0,1.0,346.25,346.25,4.04,342.21,68.442,346.25,342.21,-5.0,0.0,SuperSignal_v6,SuperSignal_v6(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Other,Unknown,False,0.0,342.21
144,,2024-12-27 12:30:00,,,,1.0,1.0,333.75,333.75,4.04,329.71,65.942,333.75,329.71,5.0,0.0,SuperSignal_v6,SuperSignal_v6(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,False,0.0,329.71
592,,2025-03-17 14:45:00,,,,-1.0,1.0,320.0,320.0,4.04,315.96,63.19199999999999,320.0,315.96,-5.0,0.0,SuperSignal_v6,SuperSignal_v6(STC Target),,Sell to Close,Sell to Close,Close,Unknown,,Other,Unknown,False,0.0,315.96
96,,2024-12-18 15:00:00,,,,1.0,1.0,317.5,317.5,4.04,313.46,62.69199999999999,317.5,313.46,5.0,0.0,SuperSignal_v6,SuperSignal_v6(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,False,0.0,313.46
470,,2025-03-03 10:15:00,,,,1.0,1.0,290.0,290.0,4.04,285.96,57.19199999999999,290.0,285.96,5.0,0.0,SuperSignal_v6,SuperSignal_v6(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,False,0.0,285.96
946,,2025-04-23 15:30:00,,,,1.0,1.0,290.0,290.0,4.04,285.96,57.19199999999999,290.0,285.96,5.0,0.0,SuperSignal_v6,SuperSignal_v6(BTC Target),,Buy to Close,Buy to Close,Close,Unknown,,Other,Unknown,False,0.0,285.96
