Id,EntryTime,ExitTime,EntryPrice,ExitPrice,Qty,TradePL,BaseStrategy,HoldMins,Session,TradeType,RMultiple,Commission,NetPL
2,,2024-11-27 08:15:00,,,-1.0,23.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,21.73
4,,2024-11-27 10:45:00,,,1.0,77.5,SuperSignal_v6,,Unknown,Unknown,,2.02,75.48
6,,2024-11-27 15:45:00,,,1.0,27.5,SuperSignal_v6,,Unknown,Unknown,,2.02,25.48
8,,2024-11-28 05:00:00,,,-1.0,15.0,EMA_Inversion_33,,Unknown,Unknown,,2.02,12.98
10,,2024-11-28 09:30:00,,,1.0,-8.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,-10.77
12,,2024-11-28 10:45:00,,,-1.0,31.25,SuperSignal_v6,,Unknown,Unknown,,2.02,29.23
14,,2024-11-28 18:15:00,,,-1.0,-15.0,SuperSignal_v6,,Unknown,Unknown,,2.02,-17.02
16,,2024-11-29 04:30:00,,,-1.0,26.25,EMA_Inversion_33,,Unknown,Unknown,,2.02,24.23
18,,2024-11-29 07:45:00,,,1.0,30.0,EMA_Inversion_33,,Unknown,Unknown,,2.02,27.98
20,,2024-11-29 09:30:00,,,-1.0,-32.5,EMA_Inversion_33,,Unknown,Unknown,,2.02,-34.52
22,,2024-12-02 03:30:00,,,1.0,-88.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,-90.77
24,,2024-12-02 05:15:00,,,-1.0,8.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,6.73
26,,2024-12-02 09:30:00,,,1.0,-72.5,EMA_Inversion_33,,Unknown,Unknown,,2.02,-74.52
28,,2024-12-02 14:15:00,,,-1.0,10.0,SuperSignal_v6,,Unknown,Unknown,,2.02,7.98
30,,2024-12-02 15:30:00,,,-1.0,31.25,SuperSignal_v6,,Unknown,Unknown,,2.02,29.23
32,,2024-12-03 08:15:00,,,-1.0,11.25,EMA_Inversion_33,,Unknown,Unknown,,2.02,9.23
34,,2024-12-03 09:15:00,,,1.0,43.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,41.73
36,,2024-12-03 16:15:00,,,-1.0,56.25,SuperSignal_v6,,Unknown,Unknown,,2.02,54.23
38,,2024-12-04 10:45:00,,,1.0,-65.0,SuperSignal_v6,,Unknown,Unknown,,2.02,-67.02
40,,2024-12-04 13:30:00,,,-1.0,-27.5,SuperSignal_v6,,Unknown,Unknown,,2.02,-29.52
42,,2024-12-04 15:15:00,,,-1.0,42.5,SuperSignal_v6,,Unknown,Unknown,,2.02,40.48
44,,2024-12-05 09:30:00,,,1.0,-7.5,EMA_Inversion_33,,Unknown,Unknown,,2.02,-9.52
46,,2024-12-05 13:30:00,,,-1.0,-10.0,SuperSignal_v6,,Unknown,Unknown,,2.02,-12.02
48,,2024-12-05 16:30:00,,,1.0,53.75,SuperSignal_v6,,Unknown,Unknown,,2.02,51.73
50,,2024-12-06 05:15:00,,,1.0,20.0,EMA_Inversion_33,,Unknown,Unknown,,2.02,17.98
52,,2024-12-06 08:45:00,,,-1.0,63.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,61.73
54,,2024-12-06 13:15:00,,,1.0,-32.5,SuperSignal_v6,,Unknown,Unknown,,2.02,-34.52
56,,2024-12-06 16:00:00,,,1.0,-38.75,SuperSignal_v6,,Unknown,Unknown,,2.02,-40.77
58,,2024-12-09 05:45:00,,,1.0,52.5,EMA_Inversion_33,,Unknown,Unknown,,2.02,50.48
60,,2024-12-10 05:30:00,,,-1.0,-135.0,EMA_Inversion_33,,Unknown,Unknown,,2.02,-137.02
62,,2024-12-10 09:30:00,,,1.0,-28.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,-30.77
64,,2024-12-10 11:15:00,,,-1.0,-37.5,SuperSignal_v6,,Unknown,Unknown,,2.02,-39.52
66,,2024-12-10 15:15:00,,,1.0,37.5,SuperSignal_v6,,Unknown,Unknown,,2.02,35.48
68,,2024-12-11 09:30:00,,,1.0,-113.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,-115.77
70,,2024-12-11 11:45:00,,,-1.0,101.25,SuperSignal_v6,,Unknown,Unknown,,2.02,99.23
72,,2024-12-11 16:00:00,,,-1.0,-28.75,SuperSignal_v6,,Unknown,Unknown,,2.02,-30.77
74,,2024-12-12 12:00:00,,,-1.0,-50.0,SuperSignal_v6,,Unknown,Unknown,,2.02,-52.02
76,,2024-12-12 14:00:00,,,-1.0,-51.25,SuperSignal_v6,,Unknown,Unknown,,2.02,-53.27
78,,2024-12-13 10:45:00,,,1.0,70.0,SuperSignal_v6,,Unknown,Unknown,,2.02,67.98
80,,2024-12-16 09:30:00,,,1.0,-70.0,EMA_Inversion_33,,Unknown,Unknown,,2.02,-72.02
82,,2024-12-16 16:00:00,,,-1.0,53.75,SuperSignal_v6,,Unknown,Unknown,,2.02,51.73
84,,2024-12-17 09:30:00,,,-1.0,-28.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,-30.77
86,,2024-12-17 11:15:00,,,1.0,-16.25,SuperSignal_v6,,Unknown,Unknown,,2.02,-18.27
88,,2024-12-17 14:30:00,,,-1.0,-63.75,SuperSignal_v6,,Unknown,Unknown,,2.02,-65.77
90,,2024-12-17 15:45:00,,,1.0,-33.75,SuperSignal_v6,,Unknown,Unknown,,2.02,-35.77
92,,2024-12-18 09:00:00,,,1.0,33.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,31.73
94,,2024-12-18 09:30:00,,,-1.0,-40.0,EMA_Inversion_33,,Unknown,Unknown,,2.02,-42.02
96,,2024-12-18 15:00:00,,,1.0,317.5,SuperSignal_v6,,Unknown,Unknown,,2.02,315.48
98,,2024-12-19 06:00:00,,,1.0,1.25,EMA_Inversion_33,,Unknown,Unknown,,2.02,-0.77
100,,2024-12-19 06:15:00,,,-1.0,18.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,16.73
102,,2024-12-19 09:00:00,,,1.0,-72.5,EMA_Inversion_33,,Unknown,Unknown,,2.02,-74.52
104,,2024-12-19 09:15:00,,,-1.0,32.5,EMA_Inversion_33,,Unknown,Unknown,,2.02,30.48
106,,2024-12-19 09:30:00,,,1.0,-13.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,-15.77
108,,2024-12-20 06:15:00,,,-1.0,-487.5,EMA_Inversion_33,,Unknown,Unknown,,2.02,-489.52
110,,2024-12-20 06:30:00,,,1.0,16.25,EMA_Inversion_33,,Unknown,Unknown,,2.02,14.23
112,,2024-12-20 07:45:00,,,-1.0,-22.5,EMA_Inversion_33,,Unknown,Unknown,,2.02,-24.52
114,,2024-12-20 08:15:00,,,1.0,6.25,EMA_Inversion_33,,Unknown,Unknown,,2.02,4.23
116,,2024-12-20 08:45:00,,,-1.0,117.5,EMA_Inversion_33,,Unknown,Unknown,,2.02,115.48
118,,2024-12-20 09:30:00,,,1.0,-8.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,-10.77
120,,2024-12-20 10:45:00,,,-1.0,280.0,SuperSignal_v6,,Unknown,Unknown,,2.02,277.98
122,,2024-12-20 15:30:00,,,-1.0,-91.25,SuperSignal_v6,,Unknown,Unknown,,2.02,-93.27
124,,2024-12-23 07:30:00,,,-1.0,-51.25,EMA_Inversion_33,,Unknown,Unknown,,2.02,-53.27
126,,2024-12-23 08:15:00,,,1.0,18.75,EMA_Inversion_33,,Unknown,Unknown,,2.02,16.73
128,,2024-12-23 14:30:00,,,-1.0,150.0,SuperSignal_v6,,Unknown,Unknown,,2.02,147.98
130,,2024-12-23 15:45:00,,,-1.0,60.0,SuperSignal_v6,,Unknown,Unknown,,2.02,57.98
132,,2024-12-26 03:15:00,,,1.0,-296.25,EMA_Inversion_33,,Unknown,Unknown,,2.02,-298.27
134,,2024-12-26 07:30:00,,,-1.0,-85.0,EMA_Inversion_33,,Unknown,Unknown,,2.02,-87.02
136,,2024-12-26 07:45:00,,,1.0,15.0,EMA_Inversion_33,,Unknown,Unknown,,2.02,12.98
138,,2024-12-26 12:30:00,,,-1.0,146.25,SuperSignal_v6,,Unknown,Unknown,,2.02,144.23
140,,2024-12-26 18:00:00,,,-1.0,-38.75,SuperSignal_v6,,Unknown,Unknown,,2.02,-40.77
142,,2024-12-27 09:30:00,,,-1.0,-107.5,EMA_Inversion_33,,Unknown,Unknown,,2.02,-109.52
144,,2024-12-27 12:30:00,,,1.0,333.75,SuperSignal_v6,,Unknown,Unknown,,2.02,331.73
146,,2024-12-27 16:00:00,,,1.0,-90.0,SuperSignal_v6,,Unknown,Unknown,,2.02,-92.02
148,,2024-12-30 06:30:00,,,-1.0,22.5,EMA_Inversion_33,,Unknown,Unknown,,2.02,20.48
150,,2024-12-30 07:15:00,,,1.0,35.0,EMA_Inversion_33,,Unknown,Unknown,,2.02,32.98
152,,2024-12-30 16:00:00,,,-1.0,-236.25,SuperSignal_v6,,Unknown,Unknown,,2.02,-238.27
154,,2024-12-31 04:15:00,,,-1.0,80.0,EMA_Inversion_33,,Unknown,Unknown,,2.02,77.98
156,,2024-12-31 12:45:00,,,1.0,207.5,SuperSignal_v6,,Unknown,Unknown,,2.02,205.48
158,,2025-01-01 18:00:00,,,1.0,-2.5,SuperSignal_v6,,Unknown,Unknown,,2.02,-4.52
160,,2025-01-02 03:30:00,,,1.0,81.25,EMA_Inversion_33,,Unknown,Unknown,,2.02,79.23
162,,2025-01-02 04:00:00,,,-1.0,32.5,EMA_Inversion_33,,Unknown,Unknown,,2.02,30.48
