Id,EntryTime,ExitTime,EntryPrice,ExitPrice,Qty,TradePL,BaseStrategy,EntrySide,HoldMins,Commission,NetPL,GrossPL,Direction,Session
2,,2024-11-27 08:15:00,,,-1.0,23.75,EMA_Inversion_33,Sell to Close,,4.04,19.71,23.75,Unknown,Unknown
4,,2024-11-27 10:45:00,,,1.0,77.5,SuperSignal_v6,Buy to Close,,4.04,73.46,77.5,Unknown,Unknown
6,,2024-11-27 15:45:00,,,1.0,27.5,SuperSignal_v6,Buy to Close,,4.04,23.46,27.5,Unknown,Unknown
8,,2024-11-28 05:00:00,,,-1.0,15.0,EMA_Inversion_33,Sell to Close,,4.04,10.96,15.0,Unknown,Unknown
10,,2024-11-28 09:30:00,,,1.0,-8.75,EMA_Inversion_33,Buy to Close,,4.04,-12.79,-8.75,Unknown,Unknown
12,,2024-11-28 10:45:00,,,-1.0,31.25,SuperSignal_v6,Sell to Close,,4.04,27.21,31.25,Unknown,Unknown
14,,2024-11-28 18:15:00,,,-1.0,-15.0,SuperSignal_v6,Sell to Close,,4.04,-19.04,-15.0,Unknown,Unknown
16,,2024-11-29 04:30:00,,,-1.0,26.25,EMA_Inversion_33,Sell to Close,,4.04,22.21,26.25,Unknown,Unknown
18,,2024-11-29 07:45:00,,,1.0,30.0,EMA_Inversion_33,Buy to Close,,4.04,25.96,30.0,Unknown,Unknown
20,,2024-11-29 09:30:00,,,-1.0,-32.5,EMA_Inversion_33,Sell to Close,,4.04,-36.54,-32.5,Unknown,Unknown
22,,2024-12-02 03:30:00,,,1.0,-88.75,EMA_Inversion_33,Buy to Close,,4.04,-92.79,-88.75,Unknown,Unknown
24,,2024-12-02 05:15:00,,,-1.0,8.75,EMA_Inversion_33,Sell to Close,,4.04,4.71,8.75,Unknown,Unknown
26,,2024-12-02 09:30:00,,,1.0,-72.5,EMA_Inversion_33,Buy to Close,,4.04,-76.54,-72.5,Unknown,Unknown
28,,2024-12-02 14:15:00,,,-1.0,10.0,SuperSignal_v6,Sell to Close,,4.04,5.96,10.0,Unknown,Unknown
30,,2024-12-02 15:30:00,,,-1.0,31.25,SuperSignal_v6,Sell to Close,,4.04,27.21,31.25,Unknown,Unknown
32,,2024-12-03 08:15:00,,,-1.0,11.25,EMA_Inversion_33,Sell to Close,,4.04,7.21,11.25,Unknown,Unknown
34,,2024-12-03 09:15:00,,,1.0,43.75,EMA_Inversion_33,Buy to Close,,4.04,39.71,43.75,Unknown,Unknown
36,,2024-12-03 16:15:00,,,-1.0,56.25,SuperSignal_v6,Sell to Close,,4.04,52.21,56.25,Unknown,Unknown
38,,2024-12-04 10:45:00,,,1.0,-65.0,SuperSignal_v6,Buy to Close,,4.04,-69.04,-65.0,Unknown,Unknown
40,,2024-12-04 13:30:00,,,-1.0,-27.5,SuperSignal_v6,Sell to Close,,4.04,-31.54,-27.5,Unknown,Unknown
42,,2024-12-04 15:15:00,,,-1.0,42.5,SuperSignal_v6,Sell to Close,,4.04,38.46,42.5,Unknown,Unknown
44,,2024-12-05 09:30:00,,,1.0,-7.5,EMA_Inversion_33,Buy to Close,,4.04,-11.54,-7.5,Unknown,Unknown
46,,2024-12-05 13:30:00,,,-1.0,-10.0,SuperSignal_v6,Sell to Close,,4.04,-14.04,-10.0,Unknown,Unknown
48,,2024-12-05 16:30:00,,,1.0,53.75,SuperSignal_v6,Buy to Close,,4.04,49.71,53.75,Unknown,Unknown
50,,2024-12-06 05:15:00,,,1.0,20.0,EMA_Inversion_33,Buy to Close,,4.04,15.96,20.0,Unknown,Unknown
52,,2024-12-06 08:45:00,,,-1.0,63.75,EMA_Inversion_33,Sell to Close,,4.04,59.71,63.75,Unknown,Unknown
54,,2024-12-06 13:15:00,,,1.0,-32.5,SuperSignal_v6,Buy to Close,,4.04,-36.54,-32.5,Unknown,Unknown
56,,2024-12-06 16:00:00,,,1.0,-38.75,SuperSignal_v6,Buy to Close,,4.04,-42.79,-38.75,Unknown,Unknown
58,,2024-12-09 05:45:00,,,1.0,52.5,EMA_Inversion_33,Buy to Close,,4.04,48.46,52.5,Unknown,Unknown
60,,2024-12-10 05:30:00,,,-1.0,-135.0,EMA_Inversion_33,Sell to Close,,4.04,-139.04,-135.0,Unknown,Unknown
62,,2024-12-10 09:30:00,,,1.0,-28.75,EMA_Inversion_33,Buy to Close,,4.04,-32.79,-28.75,Unknown,Unknown
64,,2024-12-10 11:15:00,,,-1.0,-37.5,SuperSignal_v6,Sell to Close,,4.04,-41.54,-37.5,Unknown,Unknown
66,,2024-12-10 15:15:00,,,1.0,37.5,SuperSignal_v6,Buy to Close,,4.04,33.46,37.5,Unknown,Unknown
68,,2024-12-11 09:30:00,,,1.0,-113.75,EMA_Inversion_33,Buy to Close,,4.04,-117.79,-113.75,Unknown,Unknown
70,,2024-12-11 11:45:00,,,-1.0,101.25,SuperSignal_v6,Sell to Close,,4.04,97.21,101.25,Unknown,Unknown
72,,2024-12-11 16:00:00,,,-1.0,-28.75,SuperSignal_v6,Sell to Close,,4.04,-32.79,-28.75,Unknown,Unknown
74,,2024-12-12 12:00:00,,,-1.0,-50.0,SuperSignal_v6,Sell to Close,,4.04,-54.04,-50.0,Unknown,Unknown
