Strategy report
Symbol: /MES:XCME
Work Time: 12/19/24 9:15 AM - 9/4/25 10:30 AM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;SuperSignal_v7_PreMarket45_43(BTO Entry);Buy to Open;1;5.0;$5,986.00;12/19/24 9:15 AM;;$13.75;5.0;
2;SuperSignal_v7_PreMarket45_43(STC LossLimit);Sell to Close;-1;-5.0;$5,961.00;12/19/24 10:30 AM;($125.00);($125.00);0.0;
3;SuperSignal_v7_PreMarket45_43(STO Entry);Sell to Open;-1;-5.0;$5,888.25;12/20/24 6:00 AM;;($140.00);-5.0;
4;SuperSignal_v7_PreMarket45_43(BTC LossLimit);Buy to Close;1;5.0;$5,905.75;12/20/24 8:45 AM;($87.50);($212.50);0.0;
5;SuperSignal_v7_PreMarket45_43(STO Entry);Sell to Open;-1;-5.0;$6,003.25;12/23/24 8:15 AM;;($223.75);-5.0;
6;SuperSignal_v7_PreMarket45_43(BTC Target);Buy to Close;1;5.0;$5,978.00;12/23/24 10:15 AM;$126.25;($86.25);0.0;
7;SuperSignal_v7_PreMarket45_43(BTO Entry);Buy to Open;1;5.0;$6,042.75;12/24/24 7:15 AM;;($88.75);5.0;
8;SuperSignal_v7_PreMarket45_43(STC Target);Sell to Close;-1;-5.0;$6,055.75;12/24/24 9:45 AM;$65.00;($21.25);0.0;
9;SuperSignal_v7_PreMarket45_43(STO Entry);Sell to Open;-1;-5.0;$6,069.00;12/26/24 6:15 AM;;($47.50);-5.0;
10;SuperSignal_v7_PreMarket45_43(BTC Stop);Buy to Close;1;5.0;$6,095.25;12/26/24 11:45 AM;($131.25);($152.50);0.0;
11;SuperSignal_v7_PreMarket45_43(BTO Entry);Buy to Open;1;5.0;$5,976.75;12/31/24 6:15 AM;;($156.25);5.0;
12;SuperSignal_v7_PreMarket45_43(STC Stop);Sell to Close;-1;-5.0;$5,956.75;12/31/24 10:15 AM;($100.00);($252.50);0.0;
13;SuperSignal_v7_PreMarket45_43(BTO Entry);Buy to Open;1;5.0;$5,986.50;1/2/25 8:45 AM;;($295.00);5.0;
14;SuperSignal_v7_PreMarket45_43(STC Stop);Sell to Close;-1;-5.0;$5,954.25;1/2/25 9:45 AM;($161.25);($413.75);0.0;
15;SuperSignal_v7_PreMarket45_43(BTO Entry);Buy to Open;1;5.0;$5,938.50;1/3/25 9:15 AM;;($382.50);5.0;
16;SuperSignal_v7_PreMarket45_43(STC Target);Sell to Close;-1;-5.0;$5,959.00;1/3/25 9:45 AM;$102.50;($311.25);0.0;
17;SuperSignal_v7_PreMarket45_43(BTO Entry);Buy to Open;1;5.0;$6,017.00;1/6/25 5:00 AM;;($306.25);5.0;
18;SuperSignal_v7_PreMarket45_43(STC Target);Sell to Close;-1;-5.0;$6,035.00;1/6/25 7:45 AM;$90.00;($221.25);0.0;
19;SuperSignal_v7_PreMarket45_43(BTO Entry);Buy to Open;1;5.0;$6,035.25;1/6/25 8:00 AM;;($228.75);5.0;
20;SuperSignal_v7_PreMarket45_43(STC Target);Sell to Close;-1;-5.0;$6,061.50;1/6/25 11:00 AM;$131.25;($90.00);0.0;
21;SuperSignal_v7_PreMarket45_43(BTO Entry);Buy to Open;1;5.0;$6,025.75;1/7/25 5:15 AM;;($86.25);5.0;
22;SuperSignal_v7_PreMarket45_43(STC Target);Sell to Close;-1;-5.0;$6,045.25;1/7/25 9:45 AM;$97.50;$7.50;0.0;
23;SuperSignal_v7_PreMarket45_43(STO Entry);Sell to Open;-1;-5.0;$5,960.75;1/8/25 6:30 AM;;$96.25;-5.0;
24;SuperSignal_v7_PreMarket45_43(BTC Target);Buy to Close;1;5.0;$5,942.75;1/8/25 6:45 AM;$90.00;$97.50;0.0;
25;SuperSignal_v7_PreMarket45_43(BTO Entry);Buy to Open;1;5.0;$5,952.50;1/9/25 8:15 AM;;$88.75;5.0;
26;SuperSignal_v7_PreMarket45_43(STC LossLimit);Sell to Close;-1;-5.0;$5,931.00;1/9/25 6:45 PM;($107.50);($10.00);0.0;
27;SuperSignal_v7_PreMarket45_43(BTO Entry);Buy to Open;1;5.0;$5,957.25;1/10/25 6:15 AM;;($26.25);5.0;
28;SuperSignal_v7_PreMarket45_43(STC Stop);Sell to Close;-1;-5.0;$5,930.75;1/10/25 8:45 AM;($132.50);($142.50);0.0;
