Strategy report
Symbol: /MES:XCME
Work Time: 1/8/25 11:45 AM - 9/25/25 2:00 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$5,963.50;1/8/25 11:45 AM;;($16.25);5.0;
2;SuperSignal_v7_RTH15_v43(STC Stop);Sell to Close;-1;-5.0;$5,927.50;1/8/25 12:30 PM;($180.00);($180.00);0.0;
3;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$5,969.00;1/8/25 2:30 PM;;($270.00);5.0;
4;SuperSignal_v7_RTH15_v43(STC Daily);Sell to Close;-1;-5.0;$5,955.00;1/8/25 6:00 PM;($70.00);($250.00);0.0;
5;SuperSignal_v7_RTH15_v43(STO);Sell to Open;-1;-5.0;$5,882.50;1/10/25 2:15 PM;;($275.00);-5.0;
6;SuperSignal_v7_RTH15_v43(BTC Daily);Buy to Close;1;5.0;$5,861.25;1/12/25 6:00 PM;$106.25;($143.75);0.0;
7;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$5,868.25;1/13/25 2:45 PM;;($156.25);5.0;
8;SuperSignal_v7_RTH15_v43(STC Daily);Sell to Close;-1;-5.0;$5,882.00;1/13/25 6:00 PM;$68.75;($75.00);0.0;
9;SuperSignal_v7_RTH15_v43(STO);Sell to Open;-1;-5.0;$5,877.75;1/14/25 11:00 AM;;($26.25);-5.0;
10;SuperSignal_v7_RTH15_v43(BTC Stop);Buy to Close;1;5.0;$5,894.75;1/14/25 4:45 PM;($85.00);($160.00);0.0;
11;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$5,979.00;1/15/25 10:45 AM;;($191.25);5.0;
12;SuperSignal_v7_RTH15_v43(STC Daily);Sell to Close;-1;-5.0;$5,987.50;1/15/25 6:00 PM;$42.50;($117.50);0.0;
13;SuperSignal_v7_RTH15_v43(STO);Sell to Open;-1;-5.0;$5,983.50;1/16/25 11:45 AM;;($175.00);-5.0;
14;SuperSignal_v7_RTH15_v43(BTC Target);Buy to Close;1;5.0;$5,962.75;1/16/25 4:30 PM;$103.75;($13.75);0.0;
15;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$6,039.25;1/17/25 11:00 AM;;($10.00);5.0;
16;SuperSignal_v7_RTH15_v43(STC Daily);Sell to Close;-1;-5.0;$6,032.50;1/19/25 6:00 PM;($33.75);($47.50);0.0;
