Strategy report
Symbol: /MES:XCME
Work Time: 12/18/24 10:30 AM - 9/4/25 11:00 AM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$6,137.25;12/18/24 10:30 AM;;$36.25;5.0;
2;SuperSignal_v7_RTH15_v43(STC Stop);Sell to Close;-1;-5.0;$6,123.25;12/18/24 2:15 PM;($70.00);($70.00);0.0;
3;SuperSignal_v7_RTH15_v43(STO);Sell to Open;-1;-5.0;$6,080.00;12/18/24 2:30 PM;;($47.50);-5.0;
4;SuperSignal_v7_RTH15_v43(BTC Target);Buy to Close;1;5.0;$6,056.00;12/18/24 3:00 PM;$120.00;$50.00;0.0;
5;SuperSignal_v7_RTH15_v43(STO);Sell to Open;-1;-5.0;$5,961.00;12/19/24 10:30 AM;;$5.00;-5.0;
6;SuperSignal_v7_RTH15_v43(BTC Daily);Buy to Close;1;5.0;$5,941.50;12/19/24 6:00 PM;$97.50;$147.50;0.0;
7;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$5,959.75;12/20/24 10:30 AM;;$221.25;5.0;
8;SuperSignal_v7_RTH15_v43(STC Target);Sell to Close;-1;-5.0;$6,001.00;12/20/24 11:15 AM;$206.25;$353.75;0.0;
9;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$6,022.75;12/23/24 3:30 PM;;$403.75;5.0;
10;SuperSignal_v7_RTH15_v43(STC Target);Sell to Close;-1;-5.0;$6,040.50;12/23/24 4:00 PM;$88.75;$442.50;0.0;
11;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$6,090.25;12/26/24 11:00 AM;;$453.75;5.0;
12;SuperSignal_v7_RTH15_v43(STC Daily);Sell to Close;-1;-5.0;$6,091.50;12/26/24 6:00 PM;$6.25;$448.75;0.0;
13;SuperSignal_v7_RTH15_v43(STO);Sell to Open;-1;-5.0;$6,007.50;12/27/24 10:30 AM;;$417.50;-5.0;
14;SuperSignal_v7_RTH15_v43(BTC Stop);Buy to Close;1;5.0;$6,033.50;12/27/24 3:00 PM;($130.00);$318.75;0.0;
15;SuperSignal_v7_RTH15_v43(STO);Sell to Open;-1;-5.0;$6,013.25;12/27/24 3:15 PM;;$312.50;-5.0;
16;SuperSignal_v7_RTH15_v43(BTC Daily);Buy to Close;1;5.0;$6,029.00;12/29/24 6:00 PM;($78.75);$240.00;0.0;
17;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$5,986.75;12/30/24 1:00 PM;;$256.25;5.0;
18;SuperSignal_v7_RTH15_v43(STC Stop);Sell to Close;-1;-5.0;$5,954.75;12/30/24 4:15 PM;($160.00);$80.00;0.0;
19;SuperSignal_v7_RTH15_v43(STO);Sell to Open;-1;-5.0;$5,952.00;12/31/24 11:15 AM;;$128.75;-5.0;
20;SuperSignal_v7_RTH15_v43(BTC Target);Buy to Close;1;5.0;$5,921.75;12/31/24 12:45 PM;$151.25;$231.25;0.0;
21;SuperSignal_v7_RTH15_v43(STO);Sell to Open;-1;-5.0;$5,922.25;12/31/24 2:30 PM;;$221.25;-5.0;
22;SuperSignal_v7_RTH15_v43(BTC Daily);Buy to Close;1;5.0;$5,938.25;1/1/25 6:00 PM;($80.00);$151.25;0.0;
23;SuperSignal_v7_RTH15_v43(STO);Sell to Open;-1;-5.0;$5,916.25;1/2/25 12:30 PM;;$270.00;-5.0;
24;SuperSignal_v7_RTH15_v43(BTC Daily);Buy to Close;1;5.0;$5,920.00;1/2/25 6:00 PM;($18.75);$132.50;0.0;
25;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$5,989.50;1/3/25 3:15 PM;;$132.50;5.0;
26;SuperSignal_v7_RTH15_v43(STC Daily);Sell to Close;-1;-5.0;$5,985.75;1/5/25 6:00 PM;($18.75);$113.75;0.0;
27;SuperSignal_v7_RTH15_v43(STO);Sell to Open;-1;-5.0;$6,026.25;1/6/25 2:00 PM;;$123.75;-5.0;
28;SuperSignal_v7_RTH15_v43(BTC Target);Buy to Close;1;5.0;$6,007.75;1/6/25 4:00 PM;$92.50;$206.25;0.0;
29;SuperSignal_v7_RTH15_v43(STO);Sell to Open;-1;-5.0;$5,956.00;1/7/25 3:15 PM;;$260.00;-5.0;
30;SuperSignal_v7_RTH15_v43(BTC Daily);Buy to Close;1;5.0;$5,955.00;1/7/25 6:00 PM;$5.00;$211.25;0.0;
31;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$5,963.50;1/8/25 11:45 AM;;$195.00;5.0;
32;SuperSignal_v7_RTH15_v43(STC Stop);Sell to Close;-1;-5.0;$5,927.50;1/8/25 12:30 PM;($180.00);$31.25;0.0;
33;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$5,969.00;1/8/25 2:30 PM;;($58.75);5.0;
34;SuperSignal_v7_RTH15_v43(STC Daily);Sell to Close;-1;-5.0;$5,955.00;1/8/25 6:00 PM;($70.00);($38.75);0.0;
35;SuperSignal_v7_RTH15_v43(STO);Sell to Open;-1;-5.0;$5,882.50;1/10/25 2:15 PM;;($63.75);-5.0;
36;SuperSignal_v7_RTH15_v43(BTC Daily);Buy to Close;1;5.0;$5,861.25;1/12/25 6:00 PM;$106.25;$67.50;0.0;
37;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$5,868.25;1/13/25 2:45 PM;;$55.00;5.0;
38;SuperSignal_v7_RTH15_v43(STC Daily);Sell to Close;-1;-5.0;$5,882.00;1/13/25 6:00 PM;$68.75;$136.25;0.0;
39;SuperSignal_v7_RTH15_v43(STO);Sell to Open;-1;-5.0;$5,877.75;1/14/25 11:00 AM;;$185.00;-5.0;
40;SuperSignal_v7_RTH15_v43(BTC Stop);Buy to Close;1;5.0;$5,894.75;1/14/25 4:45 PM;($85.00);$51.25;0.0;
41;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$5,979.00;1/15/25 10:45 AM;;$20.00;5.0;
42;SuperSignal_v7_RTH15_v43(STC Daily);Sell to Close;-1;-5.0;$5,987.50;1/15/25 6:00 PM;$42.50;$93.75;0.0;
43;SuperSignal_v7_RTH15_v43(STO);Sell to Open;-1;-5.0;$5,983.50;1/16/25 11:45 AM;;$36.25;-5.0;
44;SuperSignal_v7_RTH15_v43(BTC Target);Buy to Close;1;5.0;$5,962.75;1/16/25 4:30 PM;$103.75;$197.50;0.0;
45;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$6,039.25;1/17/25 11:00 AM;;$201.25;5.0;
46;SuperSignal_v7_RTH15_v43(STC Daily);Sell to Close;-1;-5.0;$6,032.50;1/19/25 6:00 PM;($33.75);$163.75;0.0;
47;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$6,081.25;1/21/25 2:30 PM;;$141.25;5.0;
48;SuperSignal_v7_RTH15_v43(STC Daily);Sell to Close;-1;-5.0;$6,092.25;1/21/25 6:00 PM;$55.00;$218.75;0.0;
49;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$6,121.25;1/23/25 10:45 AM;;$236.25;5.0;
50;SuperSignal_v7_RTH15_v43(STC Target);Sell to Close;-1;-5.0;$6,133.00;1/23/25 11:30 AM;$58.75;$277.50;0.0;
51;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$6,137.00;1/23/25 3:15 PM;;$278.75;5.0;
52;SuperSignal_v7_RTH15_v43(STC Target);Sell to Close;-1;-5.0;$6,146.75;1/23/25 4:00 PM;$48.75;$326.25;0.0;
53;SuperSignal_v7_RTH15_v43(STO);Sell to Open;-1;-5.0;$6,147.25;1/24/25 10:30 AM;;$328.75;-5.0;
54;SuperSignal_v7_RTH15_v43(BTC Target);Buy to Close;1;5.0;$6,127.25;1/24/25 2:00 PM;$100.00;$426.25;0.0;
