giStrategy report
Symbol: /MES:XCME
Work Time: 12/18/24 10:30 AM - 9/4/25 2:00 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$6,137.25;12/18/24 10:30 AM;;$36.25;5.0;
2;SuperSignal_v7_RTH15_v43(STC Stop);Sell to Close;-1;-5.0;$6,123.25;12/18/24 2:15 PM;($70.00);($70.00);0.0;
3;SuperSignal_v7_RTH15_v43(STO);Sell to Open;-1;-5.0;$6,080.00;12/18/24 2:30 PM;;($47.50);-5.0;
4;SuperSignal_v7_RTH15_v43(BTC Target);Buy to Close;1;5.0;$6,056.00;12/18/24 3:00 PM;$120.00;$50.00;0.0;
5;SuperSignal_v7_PreMarket45_43(BTO Entry);Buy to Open;1;5.0;$5,986.00;12/19/24 9:15 AM;;$63.75;5.0;
6;SuperSignal_v7_PreMarket45_43(STC LossLimit);Sell to Close;-1;-5.0;$5,961.00;12/19/24 10:30 AM;($125.00);($75.00);0.0;
7;SuperSignal_v7_RTH15_v43(STO);Sell to Open;-1;-5.0;$5,954.75;12/19/24 3:15 PM;;($97.50);-5.0;
8;SuperSignal_v7_RTH15_v43(BTC Daily);Buy to Close;1;5.0;$5,941.50;12/19/24 6:00 PM;$66.25;($8.75);0.0;
9;SuperSignal_v7_PreMarket45_43(STO Entry);Sell to Open;-1;-5.0;$5,888.25;12/20/24 6:00 AM;;($23.75);-5.0;
10;SuperSignal_v7_PreMarket45_43(BTC LossLimit);Buy to Close;1;5.0;$5,905.75;12/20/24 8:45 AM;($87.50);($96.25);0.0;
11;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$5,959.75;12/20/24 10:30 AM;;($22.50);5.0;
12;SuperSignal_v7_RTH15_v43(STC Target);Sell to Close;-1;-5.0;$6,001.00;12/20/24 11:15 AM;$206.25;$110.00;0.0;
13;SuperSignal_v7_PreMarket45_43(STO Entry);Sell to Open;-1;-5.0;$6,003.25;12/23/24 8:15 AM;;$98.75;-5.0;
14;SuperSignal_v7_PreMarket45_43(BTC Target);Buy to Close;1;5.0;$5,978.00;12/23/24 10:15 AM;$126.25;$236.25;0.0;
15;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$6,022.75;12/23/24 3:30 PM;;$286.25;5.0;
16;SuperSignal_v7_RTH15_v43(STC Target);Sell to Close;-1;-5.0;$6,040.50;12/23/24 4:00 PM;$88.75;$325.00;0.0;
17;SuperSignal_v7_PreMarket45_43(BTO Entry);Buy to Open;1;5.0;$6,042.75;12/24/24 7:15 AM;;$322.50;5.0;
18;SuperSignal_v7_PreMarket45_43(STC Target);Sell to Close;-1;-5.0;$6,055.75;12/24/24 9:45 AM;$65.00;$390.00;0.0;
19;SuperSignal_v7_PreMarket45_43(STO Entry);Sell to Open;-1;-5.0;$6,069.00;12/26/24 6:15 AM;;$363.75;-5.0;
20;SuperSignal_v7_PreMarket45_43(BTC Stop);Buy to Close;1;5.0;$6,095.25;12/26/24 11:45 AM;($131.25);$258.75;0.0;
21;SuperSignal_v7_RTH15_v43(STO);Sell to Open;-1;-5.0;$6,007.50;12/27/24 10:30 AM;;$227.50;-5.0;
22;SuperSignal_v7_RTH15_v43(BTC Stop);Buy to Close;1;5.0;$6,033.50;12/27/24 3:00 PM;($130.00);$128.75;0.0;
23;SuperSignal_v7_RTH15_v43(STO);Sell to Open;-1;-5.0;$6,013.25;12/27/24 3:15 PM;;$122.50;-5.0;
24;SuperSignal_v7_RTH15_v43(BTC Daily);Buy to Close;1;5.0;$6,029.00;12/29/24 6:00 PM;($78.75);$50.00;0.0;
25;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$5,986.75;12/30/24 1:00 PM;;$66.25;5.0;
26;SuperSignal_v7_RTH15_v43(STC Stop);Sell to Close;-1;-5.0;$5,954.75;12/30/24 4:15 PM;($160.00);($110.00);0.0;
27;SuperSignal_v7_PreMarket45_43(BTO Entry);Buy to Open;1;5.0;$5,976.75;12/31/24 6:15 AM;;($113.75);5.0;
28;SuperSignal_v7_PreMarket45_43(STC Stop);Sell to Close;-1;-5.0;$5,956.75;12/31/24 10:15 AM;($100.00);($210.00);0.0;
29;SuperSignal_v7_RTH15_v43(STO);Sell to Open;-1;-5.0;$5,952.00;12/31/24 11:15 AM;;($161.25);-5.0;
30;SuperSignal_v7_RTH15_v43(BTC Target);Buy to Close;1;5.0;$5,921.75;12/31/24 12:45 PM;$151.25;($58.75);0.0;
31;SuperSignal_v7_RTH15_v43(STO);Sell to Open;-1;-5.0;$5,922.25;12/31/24 2:30 PM;;($68.75);-5.0;
32;SuperSignal_v7_RTH15_v43(BTC Daily);Buy to Close;1;5.0;$5,938.25;1/1/25 6:00 PM;($80.00);($138.75);0.0;
33;SuperSignal_v7_PreMarket45_43(BTO Entry);Buy to Open;1;5.0;$5,986.50;1/2/25 8:45 AM;;($181.25);5.0;
34;SuperSignal_v7_PreMarket45_43(STC Stop);Sell to Close;-1;-5.0;$5,954.25;1/2/25 9:45 AM;($161.25);($300.00);0.0;
35;SuperSignal_v7_RTH15_v43(STO);Sell to Open;-1;-5.0;$5,916.25;1/2/25 12:30 PM;;($181.25);-5.0;
36;SuperSignal_v7_RTH15_v43(BTC Daily);Buy to Close;1;5.0;$5,920.00;1/2/25 6:00 PM;($18.75);($318.75);0.0;
37;SuperSignal_v7_PreMarket45_43(BTO Entry);Buy to Open;1;5.0;$5,938.50;1/3/25 9:15 AM;;($287.50);5.0;
38;SuperSignal_v7_PreMarket45_43(STC Target);Sell to Close;-1;-5.0;$5,959.00;1/3/25 9:45 AM;$102.50;($216.25);0.0;
39;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$5,989.50;1/3/25 3:15 PM;;($216.25);5.0;
40;SuperSignal_v7_RTH15_v43(STC Daily);Sell to Close;-1;-5.0;$5,985.75;1/5/25 6:00 PM;($18.75);($235.00);0.0;
41;SuperSignal_v7_PreMarket45_43(BTO Entry);Buy to Open;1;5.0;$6,017.00;1/6/25 5:00 AM;;($230.00);5.0;
42;SuperSignal_v7_PreMarket45_43(STC Target);Sell to Close;-1;-5.0;$6,035.00;1/6/25 7:45 AM;$90.00;($145.00);0.0;
43;SuperSignal_v7_PreMarket45_43(BTO Entry);Buy to Open;1;5.0;$6,035.25;1/6/25 8:00 AM;;($152.50);5.0;
44;SuperSignal_v7_PreMarket45_43(STC Target);Sell to Close;-1;-5.0;$6,061.50;1/6/25 11:00 AM;$131.25;($13.75);0.0;
45;SuperSignal_v7_RTH15_v43(STO);Sell to Open;-1;-5.0;$6,026.25;1/6/25 2:00 PM;;($3.75);-5.0;
46;SuperSignal_v7_RTH15_v43(BTC Target);Buy to Close;1;5.0;$6,007.75;1/6/25 4:00 PM;$92.50;$78.75;0.0;
47;SuperSignal_v7_PreMarket45_43(BTO Entry);Buy to Open;1;5.0;$6,025.75;1/7/25 5:15 AM;;$82.50;5.0;
48;SuperSignal_v7_PreMarket45_43(STC Target);Sell to Close;-1;-5.0;$6,045.25;1/7/25 9:45 AM;$97.50;$176.25;0.0;
49;SuperSignal_v7_RTH15_v43(STO);Sell to Open;-1;-5.0;$5,956.00;1/7/25 3:15 PM;;$230.00;-5.0;
50;SuperSignal_v7_RTH15_v43(BTC Daily);Buy to Close;1;5.0;$5,955.00;1/7/25 6:00 PM;$5.00;$181.25;0.0;
51;SuperSignal_v7_PreMarket45_43(STO Entry);Sell to Open;-1;-5.0;$5,960.75;1/8/25 6:30 AM;;$270.00;-5.0;
52;SuperSignal_v7_PreMarket45_43(BTC Target);Buy to Close;1;5.0;$5,942.75;1/8/25 6:45 AM;$90.00;$271.25;0.0;
53;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$5,963.50;1/8/25 11:45 AM;;$255.00;5.0;
