Strategy report
Symbol: /MES:XCME
Work Time: 12/3/24 6:00 AM - 8/20/25 9:30 AM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;EMA_Inversion_33(BTO 1);Buy to Open;1;5.0;$6,060.25;12/3/24 6:00 AM;;($10.00);5.0;
2;EMA_Inversion_33(STO -1);Sell to Close;-1;-5.0;$6,065.00;12/3/24 8:15 AM;$23.75;$23.75;0.0;
3;EMA_Inversion_33(STO -1);Sell to Open;-1;-5.0;$6,065.00;12/3/24 8:15 AM;;$31.25;-5.0;
4;EMA_Inversion_33(BTO 1);Buy to Close;1;5.0;$6,056.25;12/3/24 9:15 AM;$43.75;$67.50;0.0;
5;EMA_Inversion_33(BTO 1);Buy to Open;1;5.0;$6,056.25;12/3/24 9:15 AM;;$77.50;5.0;
6;EMA_Inversion_33(STO -1);Sell to Close;-1;-5.0;$6,073.00;12/4/24 3:30 AM;$83.75;$151.25;0.0;
7;EMA_Inversion_33(STO -1);Sell to Open;-1;-5.0;$6,073.00;12/4/24 3:30 AM;;$142.50;-5.0;
8;EMA_Inversion_33(STC 1(0.00));Buy to Close;1;5.0;$6,098.50;12/5/24 9:30 AM;($127.50);$23.75;0.0;
9;EMA_Inversion_33(STC 1(0.00));Buy to Open;1;5.0;$6,098.50;12/5/24 9:30 AM;;$23.75;5.0;
10;EMA_Inversion_33(STO -1);Sell to Close;-1;-5.0;$6,086.50;12/6/24 3:15 AM;($60.00);($36.25);0.0;
11;EMA_Inversion_33(STO -1);Sell to Open;-1;-5.0;$6,086.50;12/6/24 3:15 AM;;($37.50);-5.0;
12;EMA_Inversion_33(BTO 1);Buy to Close;1;5.0;$6,082.50;12/6/24 5:15 AM;$20.00;($16.25);0.0;
13;EMA_Inversion_33(BTO 1);Buy to Open;1;5.0;$6,082.50;12/6/24 5:15 AM;;($3.75);5.0;
14;EMA_Inversion_33(STO -1);Sell to Close;-1;-5.0;$6,095.25;12/6/24 8:45 AM;$63.75;$47.50;0.0;
15;EMA_Inversion_33(STO -1);Sell to Open;-1;-5.0;$6,095.25;12/6/24 8:45 AM;;$50.00;-5.0;
16;EMA_Inversion_33(STC 1(52.50));Buy to Close;1;5.0;$6,093.00;12/9/24 5:45 AM;$11.25;$58.75;0.0;
17;EMA_Inversion_33(STC 1(52.50));Buy to Open;1;5.0;$6,093.00;12/9/24 5:45 AM;;$61.25;5.0;
18;EMA_Inversion_33(STO -1);Sell to Close;-1;-5.0;$6,066.00;12/10/24 5:30 AM;($135.00);($76.25);0.0;
19;EMA_Inversion_33(STO -1);Sell to Open;-1;-5.0;$6,066.00;12/10/24 5:30 AM;;($70.00);-5.0;
20;EMA_Inversion_33(STC 1(0.00));Buy to Close;1;5.0;$6,071.75;12/10/24 9:30 AM;($28.75);($105.00);0.0;
21;EMA_Inversion_33(STC 1(0.00));Buy to Open;1;5.0;$6,071.75;12/10/24 9:30 AM;;($128.75);5.0;
22;EMA_Inversion_33(STO -1);Sell to Close;-1;-5.0;$6,053.00;12/11/24 4:15 AM;($93.75);($198.75);0.0;
23;EMA_Inversion_33(STO -1);Sell to Open;-1;-5.0;$6,053.00;12/11/24 4:15 AM;;($191.25);-5.0;
24;EMA_Inversion_33(STC 1(0.00));Buy to Close;1;5.0;$6,075.75;12/11/24 9:30 AM;($113.75);($312.50);0.0;
25;EMA_Inversion_33(STC 1(0.00));Buy to Open;1;5.0;$6,075.75;12/11/24 9:30 AM;;($301.25);5.0;
26;EMA_Inversion_33(STO -1);Sell to Close;-1;-5.0;$6,071.75;12/13/24 3:15 AM;($20.00);($332.50);0.0;
27;EMA_Inversion_33(STO -1);Sell to Open;-1;-5.0;$6,071.75;12/13/24 3:15 AM;;($353.75);-5.0;
28;EMA_Inversion_33(STC 1(0.00));Buy to Close;1;5.0;$6,144.25;12/16/24 9:30 AM;($362.50);($695.00);0.0;
29;EMA_Inversion_33(STC 1(0.00));Buy to Open;1;5.0;$6,144.25;12/16/24 9:30 AM;;($703.75);5.0;
30;EMA_Inversion_33(STC -1(0.00));Sell to Close;-1;-5.0;$6,127.25;12/17/24 9:30 AM;($85.00);($780.00);0.0;
31;EMA_Inversion_33(STC -1(0.00));Sell to Open;-1;-5.0;$6,127.25;12/17/24 9:30 AM;;($797.50);-5.0;
32;EMA_Inversion_33(STC 1(68.75));Buy to Close;1;5.0;$6,132.00;12/18/24 9:00 AM;($23.75);($803.75);0.0;
33;EMA_Inversion_33(STC 1(68.75));Buy to Open;1;5.0;$6,132.00;12/18/24 9:00 AM;;($838.75);5.0;
34;EMA_Inversion_33(STC -1(0.00));Sell to Close;-1;-5.0;$6,124.00;12/18/24 9:30 AM;($40.00);($843.75);0.0;
35;EMA_Inversion_33(STC -1(0.00));Sell to Open;-1;-5.0;$6,124.00;12/18/24 9:30 AM;;($832.50);-5.0;
36;EMA_Inversion_33(STC 1(52.50));Buy to Close;1;5.0;$5,961.25;12/19/24 6:00 AM;$813.75;($30.00);0.0;
37;EMA_Inversion_33(STC 1(52.50));Buy to Open;1;5.0;$5,961.25;12/19/24 6:00 AM;;($11.25);5.0;
38;EMA_Inversion_33(STO -1);Sell to Close;-1;-5.0;$5,965.00;12/19/24 6:15 AM;$18.75;($11.25);0.0;
39;EMA_Inversion_33(STO -1);Sell to Open;-1;-5.0;$5,965.00;12/19/24 6:15 AM;;$0.00;-5.0;
40;EMA_Inversion_33(STC 1(55.00));Buy to Close;1;5.0;$5,979.50;12/19/24 9:00 AM;($72.50);($83.75);0.0;
41;EMA_Inversion_33(STC 1(55.00));Buy to Open;1;5.0;$5,979.50;12/19/24 9:00 AM;;($51.25);5.0;
42;EMA_Inversion_33(STO -1);Sell to Close;-1;-5.0;$5,986.00;12/19/24 9:15 AM;$32.50;($51.25);0.0;
43;EMA_Inversion_33(STO -1);Sell to Open;-1;-5.0;$5,986.00;12/19/24 9:15 AM;;($65.00);-5.0;
44;EMA_Inversion_33(STC 1(0.00));Buy to Close;1;5.0;$5,988.75;12/19/24 9:30 AM;($13.75);($65.00);0.0;
45;EMA_Inversion_33(STC 1(0.00));Buy to Open;1;5.0;$5,988.75;12/19/24 9:30 AM;;($78.75);5.0;
46;EMA_Inversion_33(STC -1(51.25));Sell to Close;-1;-5.0;$5,891.25;12/20/24 6:15 AM;($487.50);($552.50);0.0;
47;EMA_Inversion_33(STC -1(51.25));Sell to Open;-1;-5.0;$5,891.25;12/20/24 6:15 AM;;($536.25);-5.0;
48;EMA_Inversion_33(BTO 1);Buy to Close;1;5.0;$5,888.00;12/20/24 6:30 AM;$16.25;($536.25);0.0;
49;EMA_Inversion_33(BTO 1);Buy to Open;1;5.0;$5,888.00;12/20/24 6:30 AM;;($550.00);5.0;
50;EMA_Inversion_33(STC -1(72.50));Sell to Close;-1;-5.0;$5,883.50;12/20/24 7:45 AM;($22.50);($558.75);0.0;
51;EMA_Inversion_33(STC -1(72.50));Sell to Open;-1;-5.0;$5,883.50;12/20/24 7:45 AM;;($567.50);-5.0;
52;EMA_Inversion_33(BTO 1);Buy to Close;1;5.0;$5,882.25;12/20/24 8:15 AM;$6.25;($552.50);0.0;
53;EMA_Inversion_33(BTO 1);Buy to Open;1;5.0;$5,882.25;12/20/24 8:15 AM;;($543.75);5.0;
54;EMA_Inversion_33(STC -1(117.50));Sell to Close;-1;-5.0;$5,905.75;12/20/24 8:45 AM;$117.50;($435.00);0.0;
55;EMA_Inversion_33(STC -1(117.50));Sell to Open;-1;-5.0;$5,905.75;12/20/24 8:45 AM;;($417.50);-5.0;
56;EMA_Inversion_33(STC 1(0.00));Buy to Close;1;5.0;$5,907.50;12/20/24 9:30 AM;($8.75);($443.75);0.0;
57;EMA_Inversion_33(STC 1(0.00));Buy to Open;1;5.0;$5,907.50;12/20/24 9:30 AM;;($388.75);5.0;
58;EMA_Inversion_33(STC -1(51.25));Sell to Close;-1;-5.0;$6,007.00;12/23/24 7:30 AM;$497.50;$53.75;0.0;
59;EMA_Inversion_33(STC -1(51.25));Sell to Open;-1;-5.0;$6,007.00;12/23/24 7:30 AM;;$58.75;-5.0;
60;EMA_Inversion_33(BTO 1);Buy to Close;1;5.0;$6,003.25;12/23/24 8:15 AM;$18.75;$72.50;0.0;
61;EMA_Inversion_33(BTO 1);Buy to Open;1;5.0;$6,003.25;12/23/24 8:15 AM;;$83.75;5.0;
62;EMA_Inversion_33(STO -1);Sell to Close;-1;-5.0;$6,037.50;12/24/24 4:00 AM;$171.25;$243.75;0.0;
63;EMA_Inversion_33(STO -1);Sell to Open;-1;-5.0;$6,037.50;12/24/24 4:00 AM;;$216.25;-5.0;
64;EMA_Inversion_33(BTO 1);Buy to Close;1;5.0;$6,096.75;12/26/24 3:15 AM;($296.25);($52.50);0.0;
65;EMA_Inversion_33(BTO 1);Buy to Open;1;5.0;$6,096.75;12/26/24 3:15 AM;;($86.25);5.0;
66;EMA_Inversion_33(STC -1(53.75));Sell to Close;-1;-5.0;$6,079.75;12/26/24 7:30 AM;($85.00);($137.50);0.0;
67;EMA_Inversion_33(STC -1(53.75));Sell to Open;-1;-5.0;$6,079.75;12/26/24 7:30 AM;;($122.50);-5.0;
68;EMA_Inversion_33(BTO 1);Buy to Close;1;5.0;$6,076.75;12/26/24 7:45 AM;$15.00;($122.50);0.0;
69;EMA_Inversion_33(BTO 1);Buy to Open;1;5.0;$6,076.75;12/26/24 7:45 AM;;($116.25);5.0;
70;EMA_Inversion_33(STC -1(0.00));Sell to Close;-1;-5.0;$6,052.50;12/27/24 9:30 AM;($121.25);($243.75);0.0;
71;EMA_Inversion_33(STC -1(0.00));Sell to Open;-1;-5.0;$6,052.50;12/27/24 9:30 AM;;($193.75);-5.0;
72;EMA_Inversion_33(BTO 1);Buy to Close;1;5.0;$6,011.50;12/30/24 4:45 AM;$205.00;($38.75);0.0;
73;EMA_Inversion_33(BTO 1);Buy to Open;1;5.0;$6,011.50;12/30/24 4:45 AM;;($36.25);5.0;
74;EMA_Inversion_33(STO -1);Sell to Close;-1;-5.0;$6,016.00;12/30/24 6:30 AM;$22.50;($16.25);0.0;
75;EMA_Inversion_33(STO -1);Sell to Open;-1;-5.0;$6,016.00;12/30/24 6:30 AM;;($8.75);-5.0;
76;EMA_Inversion_33(BTO 1);Buy to Close;1;5.0;$6,009.00;12/30/24 7:15 AM;$35.00;$18.75;0.0;
77;EMA_Inversion_33(BTO 1);Buy to Open;1;5.0;$6,009.00;12/30/24 7:15 AM;;($1.25);5.0;
78;EMA_Inversion_33(STO -1);Sell to Close;-1;-5.0;$5,968.50;12/31/24 4:15 AM;($202.50);($183.75);0.0;
79;EMA_Inversion_33(STO -1);Sell to Open;-1;-5.0;$5,968.50;12/31/24 4:15 AM;;($207.50);-5.0;
80;EMA_Inversion_33(STC 1(81.25));Buy to Close;1;5.0;$5,957.75;1/2/25 3:30 AM;$53.75;($130.00);0.0;
81;EMA_Inversion_33(STC 1(81.25));Buy to Open;1;5.0;$5,957.75;1/2/25 3:30 AM;;($123.75);5.0;
82;EMA_Inversion_33(STO -1);Sell to Close;-1;-5.0;$5,964.25;1/2/25 4:00 AM;$32.50;($97.50);0.0;
83;EMA_Inversion_33(STO -1);Sell to Open;-1;-5.0;$5,964.25;1/2/25 4:00 AM;;($128.75);-5.0;
84;EMA_Inversion_33(STC 1(72.50));Buy to Close;1;5.0;$5,972.00;1/2/25 9:15 AM;($38.75);($136.25);0.0;
85;EMA_Inversion_33(STC 1(72.50));Buy to Open;1;5.0;$5,972.00;1/2/25 9:15 AM;;($158.75);5.0;
86;EMA_Inversion_33(STO -1);Sell to Close;-1;-5.0;$5,936.00;1/3/25 3:15 AM;($180.00);($316.25);0.0;
87;EMA_Inversion_33(STO -1);Sell to Open;-1;-5.0;$5,936.00;1/3/25 3:15 AM;;($275.00);-5.0;
88;EMA_Inversion_33(BTO 1);Buy to Close;1;5.0;$5,928.50;1/3/25 6:45 AM;$37.50;($278.75);0.0;
89;EMA_Inversion_33(BTO 1);Buy to Open;1;5.0;$5,928.50;1/3/25 6:45 AM;;($275.00);5.0;
90;EMA_Inversion_33(STO -1);Sell to Close;-1;-5.0;$5,936.25;1/3/25 8:30 AM;$38.75;($240.00);0.0;
91;EMA_Inversion_33(STO -1);Sell to Open;-1;-5.0;$5,936.25;1/3/25 8:30 AM;;($240.00);-5.0;
92;EMA_Inversion_33(STC 1(0.00));Buy to Close;1;5.0;$5,944.75;1/3/25 9:30 AM;($42.50);($282.50);0.0;
93;EMA_Inversion_33(STC 1(0.00));Buy to Open;1;5.0;$5,944.75;1/3/25 9:30 AM;;($188.75);5.0;
94;EMA_Inversion_33(STO -1);Sell to Close;-1;-5.0;$6,003.25;1/6/25 3:15 AM;$292.50;$10.00;0.0;
95;EMA_Inversion_33(STO -1);Sell to Open;-1;-5.0;$6,003.25;1/6/25 3:15 AM;;$28.75;-5.0;
96;EMA_Inversion_33(BTO 1);Buy to Close;1;5.0;$6,014.50;1/7/25 3:15 AM;($56.25);($46.25);0.0;
97;EMA_Inversion_33(BTO 1);Buy to Open;1;5.0;$6,014.50;1/7/25 3:15 AM;;($48.75);5.0;
98;EMA_Inversion_33(STO -1);Sell to Close;-1;-5.0;$6,024.00;1/7/25 3:45 AM;$47.50;$1.25;0.0;
99;EMA_Inversion_33(STO -1);Sell to Open;-1;-5.0;$6,024.00;1/7/25 3:45 AM;;$0.00;-5.0;
100;EMA_Inversion_33(STC 1(0.00));Buy to Close;1;5.0;$6,042.00;1/7/25 9:30 AM;($90.00);($88.75);0.0;
101;EMA_Inversion_33(STC 1(0.00));Buy to Open;1;5.0;$6,042.00;1/7/25 9:30 AM;;($115.00);5.0;
102;EMA_Inversion_33(STO -1);Sell to Close;-1;-5.0;$5,970.50;1/8/25 4:15 AM;($357.50);($446.25);0.0;
103;EMA_Inversion_33(STO -1);Sell to Open;-1;-5.0;$5,970.50;1/8/25 4:15 AM;;($437.50);-5.0;
104;EMA_Inversion_33(STC 1(67.50));Buy to Close;1;5.0;$5,960.75;1/8/25 6:30 AM;$48.75;($397.50);0.0;
