Strategy report
Symbol: /MES:XCME
Work Time: 11/27/24 3:45 AM - 8/14/25 5:30 AM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;EMA_Inversion_33(BTO 1);Buy to Open;1;5.0;$6,029.00;11/27/24 3:45 AM;;$2.50;5.0;
2;EMA_Inversion_33(STO -1);Sell to Close;-1;-5.0;$6,033.75;11/27/24 8:15 AM;$23.75;$23.75;0.0;
3;EMA_Inversion_33(STO -1);Sell to Open;-1;-5.0;$6,033.75;11/27/24 8:15 AM;;$17.50;-5.0;
4;SuperSignal_v6(BTC Target);Buy to Close;1;5.0;$6,018.25;11/27/24 10:45 AM;$77.50;$101.25;0.0;
5;SuperSignal_v6(STO Entry);Sell to Open;-1;-5.0;$6,012.75;11/27/24 1:30 PM;;$82.50;-5.0;
6;SuperSignal_v6(BTC Target);Buy to Close;1;5.0;$6,007.25;11/27/24 3:45 PM;$27.50;$128.75;0.0;
7;EMA_Inversion_33(BTO 1);Buy to Open;1;5.0;$6,020.25;11/28/24 3:15 AM;;$136.25;5.0;
8;EMA_Inversion_33(STO -1);Sell to Close;-1;-5.0;$6,023.25;11/28/24 5:00 AM;$15.00;$143.75;0.0;
9;EMA_Inversion_33(STO -1);Sell to Open;-1;-5.0;$6,023.25;11/28/24 5:00 AM;;$145.00;-5.0;
10;EMA_Inversion_33(STC 1(0.00));Buy to Close;1;5.0;$6,025.00;11/28/24 9:30 AM;($8.75);$135.00;0.0;
11;EMA_Inversion_33(STC 1(0.00));Buy to Open;1;5.0;$6,025.00;11/28/24 9:30 AM;;$143.75;5.0;
12;SuperSignal_v6(STC Target);Sell to Close;-1;-5.0;$6,031.25;11/28/24 10:45 AM;$31.25;$166.25;0.0;
13;SuperSignal_v6(BTO Entry);Buy to Open;1;5.0;$6,029.75;11/28/24 12:15 PM;;$175.00;5.0;
14;SuperSignal_v6(STC Stop);Sell to Close;-1;-5.0;$6,026.75;11/28/24 6:15 PM;($15.00);$151.25;0.0;
15;EMA_Inversion_33(BTO 1);Buy to Open;1;5.0;$6,028.50;11/29/24 3:45 AM;;$166.25;5.0;
16;EMA_Inversion_33(STO -1);Sell to Close;-1;-5.0;$6,033.75;11/29/24 4:30 AM;$26.25;$177.50;0.0;
17;EMA_Inversion_33(STO -1);Sell to Open;-1;-5.0;$6,033.75;11/29/24 4:30 AM;;$180.00;-5.0;
18;EMA_Inversion_33(BTO 1);Buy to Close;1;5.0;$6,027.75;11/29/24 7:45 AM;$30.00;$207.50;0.0;
19;EMA_Inversion_33(BTO 1);Buy to Open;1;5.0;$6,027.75;11/29/24 7:45 AM;;$215.00;5.0;
20;EMA_Inversion_33(STC -1(0.00));Sell to Close;-1;-5.0;$6,021.25;11/29/24 9:30 AM;($32.50);$175.00;0.0;
21;EMA_Inversion_33(STC -1(0.00));Sell to Open;-1;-5.0;$6,021.25;11/29/24 9:30 AM;;$136.25;-5.0;
22;EMA_Inversion_33(BTO 1);Buy to Close;1;5.0;$6,039.00;12/2/24 3:30 AM;($88.75);$86.25;0.0;
23;EMA_Inversion_33(BTO 1);Buy to Open;1;5.0;$6,039.00;12/2/24 3:30 AM;;$93.75;5.0;
24;EMA_Inversion_33(STO -1);Sell to Close;-1;-5.0;$6,040.75;12/2/24 5:15 AM;$8.75;$95.00;0.0;
25;EMA_Inversion_33(STO -1);Sell to Open;-1;-5.0;$6,040.75;12/2/24 5:15 AM;;$96.25;-5.0;
26;EMA_Inversion_33(STC 1(0.00));Buy to Close;1;5.0;$6,055.25;12/2/24 9:30 AM;($72.50);$22.50;0.0;
27;EMA_Inversion_33(STC 1(0.00));Buy to Open;1;5.0;$6,055.25;12/2/24 9:30 AM;;$18.75;5.0;
28;SuperSignal_v6(STC Stop);Sell to Close;-1;-5.0;$6,057.25;12/2/24 2:15 PM;$10.00;$32.50;0.0;
29;SuperSignal_v6(BTO Entry);Buy to Open;1;5.0;$6,062.25;12/2/24 2:45 PM;;$45.00;5.0;
30;SuperSignal_v6(STC Target);Sell to Close;-1;-5.0;$6,068.50;12/2/24 3:30 PM;$31.25;$63.75;0.0;
31;EMA_Inversion_33(BTO 1);Buy to Open;1;5.0;$6,062.75;12/3/24 3:15 AM;;$75.00;5.0;
32;EMA_Inversion_33(STO -1);Sell to Close;-1;-5.0;$6,065.00;12/3/24 8:15 AM;$11.25;$75.00;0.0;
33;EMA_Inversion_33(STO -1);Sell to Open;-1;-5.0;$6,065.00;12/3/24 8:15 AM;;$82.50;-5.0;
34;EMA_Inversion_33(BTO 1);Buy to Close;1;5.0;$6,056.25;12/3/24 9:15 AM;$43.75;$118.75;0.0;
35;EMA_Inversion_33(BTO 1);Buy to Open;1;5.0;$6,056.25;12/3/24 9:15 AM;;$128.75;5.0;
36;SuperSignal_v6(STC Target);Sell to Close;-1;-5.0;$6,067.50;12/3/24 4:15 PM;$56.25;$175.00;0.0;
37;EMA_Inversion_33(STO -1);Sell to Open;-1;-5.0;$6,073.00;12/4/24 3:30 AM;;$166.25;-5.0;
38;SuperSignal_v6(BTC Stop);Buy to Close;1;5.0;$6,086.00;12/4/24 10:45 AM;($65.00);$110.00;0.0;
39;SuperSignal_v6(BTO Entry);Buy to Open;1;5.0;$6,087.25;12/4/24 1:00 PM;;$103.75;5.0;
40;SuperSignal_v6(STC Stop);Sell to Close;-1;-5.0;$6,081.75;12/4/24 1:30 PM;($27.50);$82.50;0.0;
41;SuperSignal_v6(BTO Entry);Buy to Open;1;5.0;$6,087.00;12/4/24 2:15 PM;;$105.00;5.0;
42;SuperSignal_v6(STC Target);Sell to Close;-1;-5.0;$6,095.50;12/4/24 3:15 PM;$42.50;$125.00;0.0;
43;EMA_Inversion_33(STO -1);Sell to Open;-1;-5.0;$6,097.00;12/5/24 3:15 AM;;$125.00;-5.0;
44;EMA_Inversion_33(STC 1(0.00));Buy to Close;1;5.0;$6,098.50;12/5/24 9:30 AM;($7.50);$117.50;0.0;
45;EMA_Inversion_33(STC 1(0.00));Buy to Open;1;5.0;$6,098.50;12/5/24 9:30 AM;;$117.50;5.0;
46;SuperSignal_v6(STC Stop);Sell to Close;-1;-5.0;$6,096.50;12/5/24 1:30 PM;($10.00);$107.50;0.0;
47;SuperSignal_v6(STO Entry);Sell to Open;-1;-5.0;$6,093.50;12/5/24 2:30 PM;;$100.00;-5.0;
48;SuperSignal_v6(BTC Target);Buy to Close;1;5.0;$6,082.75;12/5/24 4:30 PM;$53.75;$161.25;0.0;
49;EMA_Inversion_33(STO -1);Sell to Open;-1;-5.0;$6,086.50;12/6/24 3:15 AM;;$160.00;-5.0;
50;EMA_Inversion_33(BTO 1);Buy to Close;1;5.0;$6,082.50;12/6/24 5:15 AM;$20.00;$181.25;0.0;
51;EMA_Inversion_33(BTO 1);Buy to Open;1;5.0;$6,082.50;12/6/24 5:15 AM;;$193.75;5.0;
52;EMA_Inversion_33(STO -1);Sell to Close;-1;-5.0;$6,095.25;12/6/24 8:45 AM;$63.75;$245.00;0.0;
53;EMA_Inversion_33(STO -1);Sell to Open;-1;-5.0;$6,095.25;12/6/24 8:45 AM;;$247.50;-5.0;
54;SuperSignal_v6(BTC Stop);Buy to Close;1;5.0;$6,101.75;12/6/24 1:15 PM;($32.50);$212.50;0.0;
55;SuperSignal_v6(STO Entry);Sell to Open;-1;-5.0;$6,093.25;12/6/24 2:15 PM;;$222.50;-5.0;
56;SuperSignal_v6(BTC Stop);Buy to Close;1;5.0;$6,101.00;12/6/24 4:00 PM;($38.75);$173.75;0.0;
57;EMA_Inversion_33(STO -1);Sell to Open;-1;-5.0;$6,103.50;12/9/24 4:00 AM;;$187.50;-5.0;
58;EMA_Inversion_33(STC 1(52.50));Buy to Close;1;5.0;$6,093.00;12/9/24 5:45 AM;$52.50;$226.25;0.0;
59;EMA_Inversion_33(STC 1(52.50));Buy to Open;1;5.0;$6,093.00;12/9/24 5:45 AM;;$228.75;5.0;
60;EMA_Inversion_33(STO -1);Sell to Close;-1;-5.0;$6,066.00;12/10/24 5:30 AM;($135.00);$91.25;0.0;
61;EMA_Inversion_33(STO -1);Sell to Open;-1;-5.0;$6,066.00;12/10/24 5:30 AM;;$97.50;-5.0;
62;EMA_Inversion_33(STC 1(0.00));Buy to Close;1;5.0;$6,071.75;12/10/24 9:30 AM;($28.75);$62.50;0.0;
63;EMA_Inversion_33(STC 1(0.00));Buy to Open;1;5.0;$6,071.75;12/10/24 9:30 AM;;$38.75;5.0;
64;SuperSignal_v6(STC Stop);Sell to Close;-1;-5.0;$6,064.25;12/10/24 11:15 AM;($37.50);$25.00;0.0;
65;SuperSignal_v6(STO Entry);Sell to Open;-1;-5.0;$6,059.75;12/10/24 1:15 PM;;$12.50;-5.0;
66;SuperSignal_v6(BTC Target);Buy to Close;1;5.0;$6,052.25;12/10/24 3:15 PM;$37.50;$62.50;0.0;
67;EMA_Inversion_33(STO -1);Sell to Open;-1;-5.0;$6,053.00;12/11/24 4:15 AM;;$70.00;-5.0;
68;EMA_Inversion_33(STC 1(0.00));Buy to Close;1;5.0;$6,075.75;12/11/24 9:30 AM;($113.75);($51.25);0.0;
69;EMA_Inversion_33(STC 1(0.00));Buy to Open;1;5.0;$6,075.75;12/11/24 9:30 AM;;($40.00);5.0;
70;SuperSignal_v6(STC Target);Sell to Close;-1;-5.0;$6,096.00;12/11/24 11:45 AM;$101.25;$50.00;0.0;
71;SuperSignal_v6(BTO Entry);Buy to Open;1;5.0;$6,097.25;12/11/24 2:30 PM;;$51.25;5.0;
72;SuperSignal_v6(STC Stop);Sell to Close;-1;-5.0;$6,091.50;12/11/24 4:00 PM;($28.75);$21.25;0.0;
73;EMA_Inversion_33(BTO 1);Buy to Open;1;5.0;$6,084.00;12/12/24 3:15 AM;;$28.75;5.0;
74;SuperSignal_v6(STC Opposing);Sell to Close;-1;-5.0;$6,074.00;12/12/24 12:00 PM;($50.00);($28.75);0.0;
75;SuperSignal_v6(BTO Entry);Buy to Open;1;5.0;$6,084.00;12/12/24 1:00 PM;;($28.75);5.0;
76;SuperSignal_v6(STC Stop);Sell to Close;-1;-5.0;$6,073.75;12/12/24 2:00 PM;($51.25);($80.00);0.0;
77;EMA_Inversion_33(STO -1);Sell to Open;-1;-5.0;$6,071.75;12/13/24 3:15 AM;;($101.25);-5.0;
78;SuperSignal_v6(BTC Target);Buy to Close;1;5.0;$6,057.75;12/13/24 10:45 AM;$70.00;($10.00);0.0;
79;EMA_Inversion_33(STO -1);Sell to Open;-1;-5.0;$6,130.25;12/16/24 3:45 AM;;($3.75);-5.0;
80;EMA_Inversion_33(STC 1(0.00));Buy to Close;1;5.0;$6,144.25;12/16/24 9:30 AM;($70.00);($80.00);0.0;
81;EMA_Inversion_33(STC 1(0.00));Buy to Open;1;5.0;$6,144.25;12/16/24 9:30 AM;;($88.75);5.0;
82;SuperSignal_v6(STC Stop);Sell to Close;-1;-5.0;$6,155.00;12/16/24 4:00 PM;$53.75;($26.25);0.0;
