Strategy report
Symbol: /MES:XCME
Work Time: 12/16/24 5:00 AM - 8/29/25 10:00 AM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;SuperSignal_v7_PreMarket45_43(BTO);Buy to Open;1;5.0;$6,134.50;12/16/24 5:00 AM;;$12.50;5.0;
2;SuperSignal_v7_PreMarket45_43(STC Target);Sell to Close;-1;-5.0;$6,146.25;12/16/24 8:45 AM;$58.75;$58.75;0.0;
3;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$6,153.75;12/16/24 10:45 AM;;$52.50;5.0;
4;SuperSignal_v7_RTH15_v43(STC Daily);Sell to Close;-1;-5.0;$6,149.50;12/16/24 6:00 PM;($21.25);$37.50;0.0;
5;SuperSignal_v7_PreMarket45_43(BTO);Buy to Open;1;5.0;$6,141.50;12/17/24 6:30 AM;;$11.25;5.0;
6;SuperSignal_v7_PreMarket45_43(STC Stop);Sell to Close;-1;-5.0;$6,130.25;12/17/24 8:15 AM;($56.25);($18.75);0.0;
7;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$6,136.50;12/17/24 11:15 AM;;($50.00);5.0;
8;SuperSignal_v7_RTH15_v43(STC Stop);Sell to Close;-1;-5.0;$6,120.00;12/17/24 2:45 PM;($82.50);($101.25);0.0;
9;SuperSignal_v7_RTH15_v43(STO);Sell to Open;-1;-5.0;$6,119.75;12/17/24 3:00 PM;;($97.50);-5.0;
10;SuperSignal_v7_RTH15_v43(BTC Stop);Buy to Close;1;5.0;$6,129.00;12/17/24 4:00 PM;($46.25);($147.50);0.0;
11;SuperSignal_v7_PreMarket45_43(BTO);Buy to Open;1;5.0;$6,143.50;12/18/24 5:15 AM;;($141.25);5.0;
12;SuperSignal_v7_PreMarket45_43(STC Stop);Sell to Close;-1;-5.0;$6,137.50;12/18/24 9:00 AM;($30.00);($177.50);0.0;
13;SuperSignal_v7_PreMarket45_43(STO);Sell to Open;-1;-5.0;$6,125.00;12/18/24 9:15 AM;;($172.50);-5.0;
14;SuperSignal_v7_PreMarket45_43(BTC Stop);Buy to Close;1;5.0;$6,144.50;12/18/24 10:45 AM;($97.50);($275.00);0.0;
15;SuperSignal_v7_RTH15_v43(STO);Sell to Open;-1;-5.0;$6,080.00;12/18/24 2:30 PM;;($252.50);-5.0;
16;SuperSignal_v7_RTH15_v43(BTC Target);Buy to Close;1;5.0;$6,054.00;12/18/24 3:00 PM;$130.00;($145.00);0.0;
17;SuperSignal_v7_PreMarket45_43(BTO);Buy to Open;1;5.0;$5,968.50;12/19/24 7:00 AM;;($101.25);5.0;
18;SuperSignal_v7_PreMarket45_43(STC Target);Sell to Close;-1;-5.0;$5,989.25;12/19/24 8:00 AM;$103.75;($41.25);0.0;
19;SuperSignal_v7_PreMarket45_43(STO);Sell to Open;-1;-5.0;$5,882.50;12/20/24 7:00 AM;;$0.00;-5.0;
