Strategy report
Symbol: /MES:XCME
Work Time: 12/16/24 5:00 AM - 8/29/25 10:00 AM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;SuperSignal_v7_PreMarket45_43(BTO);Buy to Open;1;5.0;$6,134.50;12/16/24 5:00 AM;;$12.50;5.0;
2;SuperSignal_v7_PreMarket45_43(STC Target);Sell to Close;-1;-5.0;$6,146.25;12/16/24 8:45 AM;$58.75;$58.75;0.0;
3;SuperSignal_v7_PreMarket45_43(BTO);Buy to Open;1;5.0;$6,141.50;12/17/24 6:30 AM;;$32.50;5.0;
4;SuperSignal_v7_PreMarket45_43(STC Stop);Sell to Close;-1;-5.0;$6,130.25;12/17/24 8:15 AM;($56.25);$2.50;0.0;
5;SuperSignal_v7_PreMarket45_43(BTO);Buy to Open;1;5.0;$6,143.50;12/18/24 5:15 AM;;$8.75;5.0;
6;SuperSignal_v7_PreMarket45_43(STC Stop);Sell to Close;-1;-5.0;$6,137.50;12/18/24 9:00 AM;($30.00);($27.50);0.0;
7;SuperSignal_v7_PreMarket45_43(STO);Sell to Open;-1;-5.0;$6,125.00;12/18/24 9:15 AM;;($22.50);-5.0;
8;SuperSignal_v7_PreMarket45_43(BTC Stop);Buy to Close;1;5.0;$6,144.50;12/18/24 10:45 AM;($97.50);($125.00);0.0;
9;SuperSignal_v7_PreMarket45_43(BTO);Buy to Open;1;5.0;$5,968.50;12/19/24 7:00 AM;;($81.25);5.0;
10;SuperSignal_v7_PreMarket45_43(STC Target);Sell to Close;-1;-5.0;$5,989.25;12/19/24 8:00 AM;$103.75;($21.25);0.0;
11;SuperSignal_v7_PreMarket45_43(STO);Sell to Open;-1;-5.0;$5,882.50;12/20/24 7:00 AM;;$20.00;-5.0;
12;SuperSignal_v7_PreMarket45_43(BTC Stop);Buy to Close;1;5.0;$5,907.50;12/20/24 8:45 AM;($125.00);($146.25);0.0;
13;SuperSignal_v7_PreMarket45_43(STO);Sell to Open;-1;-5.0;$6,012.00;12/23/24 5:30 AM;;($131.25);-5.0;
14;SuperSignal_v7_PreMarket45_43(BTC Target);Buy to Close;1;5.0;$5,993.00;12/23/24 7:00 AM;$95.00;($51.25);0.0;
15;SuperSignal_v7_PreMarket45_43(STO);Sell to Open;-1;-5.0;$6,003.25;12/23/24 8:15 AM;;($62.50);-5.0;
16;SuperSignal_v7_PreMarket45_43(BTC Target);Buy to Close;1;5.0;$5,981.50;12/23/24 10:00 AM;$108.75;$57.50;0.0;
17;SuperSignal_v7_PreMarket45_43(BTO);Buy to Open;1;5.0;$6,042.75;12/24/24 7:15 AM;;$55.00;5.0;
18;SuperSignal_v7_PreMarket45_43(STC Target);Sell to Close;-1;-5.0;$6,055.25;12/24/24 9:45 AM;$62.50;$120.00;0.0;
19;SuperSignal_v7_PreMarket45_43(STO);Sell to Open;-1;-5.0;$6,076.50;12/26/24 5:00 AM;;$145.00;-5.0;
