Strategy report
Symbol: /MES:XCME
Work Time: 12/16/24 10:45 AM - 8/28/25 6:00 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$6,153.75;12/16/24 10:45 AM;;($6.25);5.0;
2;SuperSignal_v7_RTH15_v43(STC Daily);Sell to Close;-1;-5.0;$6,149.50;12/16/24 6:00 PM;($21.25);($21.25);0.0;
3;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$6,136.50;12/17/24 11:15 AM;;($52.50);5.0;
4;SuperSignal_v7_RTH15_v43(STC Stop);Sell to Close;-1;-5.0;$6,120.00;12/17/24 2:45 PM;($82.50);($103.75);0.0;
5;SuperSignal_v7_RTH15_v43(STO);Sell to Open;-1;-5.0;$6,119.75;12/17/24 3:00 PM;;($100.00);-5.0;
6;SuperSignal_v7_RTH15_v43(BTC Stop);Buy to Close;1;5.0;$6,129.00;12/17/24 4:00 PM;($46.25);($150.00);0.0;
7;SuperSignal_v7_RTH15_v43(STO);Sell to Open;-1;-5.0;$6,080.00;12/18/24 2:30 PM;;($127.50);-5.0;
8;SuperSignal_v7_RTH15_v43(BTC Target);Buy to Close;1;5.0;$6,054.00;12/18/24 3:00 PM;$130.00;($20.00);0.0;
9;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$6,026.00;12/20/24 2:30 PM;;($25.00);5.0;
10;SuperSignal_v7_RTH15_v43(STC Stop);Sell to Close;-1;-5.0;$6,001.75;12/20/24 3:45 PM;($121.25);($141.25);0.0;
11;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$6,014.50;12/23/24 12:00 PM;;($165.00);5.0;
12;SuperSignal_v7_RTH15_v43(STC Target);Sell to Close;-1;-5.0;$6,039.75;12/23/24 4:00 PM;$126.25;($15.00);0.0;
13;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$6,090.25;12/26/24 11:00 AM;;($3.75);5.0;
14;SuperSignal_v7_RTH15_v43(STC Daily);Sell to Close;-1;-5.0;$6,091.50;12/26/24 6:00 PM;$6.25;($8.75);0.0;
15;SuperSignal_v7_RTH15_v43(STO);Sell to Open;-1;-5.0;$6,013.25;12/27/24 3:15 PM;;($15.00);-5.0;
16;SuperSignal_v7_RTH15_v43(BTC Daily);Buy to Close;1;5.0;$6,029.00;12/29/24 6:00 PM;($78.75);($87.50);0.0;
17;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$5,969.50;12/30/24 11:45 AM;;($96.25);5.0;
18;SuperSignal_v7_RTH15_v43(STC Daily);Sell to Close;-1;-5.0;$5,954.25;12/30/24 6:00 PM;($76.25);($163.75);0.0;
19;SuperSignal_v7_RTH15_v43(STO);Sell to Open;-1;-5.0;$5,952.00;12/31/24 11:15 AM;;($115.00);-5.0;
20;SuperSignal_v7_RTH15_v43(BTC Target);Buy to Close;1;5.0;$5,918.50;12/31/24 2:15 PM;$167.50;$3.75;0.0;
21;SuperSignal_v7_RTH15_v43(STO);Sell to Open;-1;-5.0;$5,916.25;1/2/25 12:30 PM;;$122.50;-5.0;
22;SuperSignal_v7_RTH15_v43(BTC Daily);Buy to Close;1;5.0;$5,920.00;1/2/25 6:00 PM;($18.75);($15.00);0.0;
23;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$5,966.75;1/3/25 11:30 AM;;$38.75;5.0;
24;SuperSignal_v7_RTH15_v43(STC Daily);Sell to Close;-1;-5.0;$5,985.75;1/5/25 6:00 PM;$95.00;$80.00;0.0;
25;SuperSignal_v7_RTH15_v43(STO);Sell to Open;-1;-5.0;$6,026.25;1/6/25 2:00 PM;;$90.00;-5.0;
26;SuperSignal_v7_RTH15_v43(BTC Target);Buy to Close;1;5.0;$6,006.50;1/6/25 4:00 PM;$98.75;$178.75;0.0;
27;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$5,963.50;1/8/25 11:45 AM;;$162.50;5.0;
28;SuperSignal_v7_RTH15_v43(STC Stop);Sell to Close;-1;-5.0;$5,930.00;1/8/25 12:30 PM;($167.50);$11.25;0.0;
29;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$5,957.00;1/8/25 1:30 PM;;$16.25;5.0;
30;SuperSignal_v7_RTH15_v43(STC Daily);Sell to Close;-1;-5.0;$5,955.00;1/8/25 6:00 PM;($10.00);$1.25;0.0;
31;SuperSignal_v7_RTH15_v43(STO);Sell to Open;-1;-5.0;$5,882.50;1/10/25 2:15 PM;;($23.75);-5.0;
32;SuperSignal_v7_RTH15_v43(BTC Daily);Buy to Close;1;5.0;$5,861.25;1/12/25 6:00 PM;$106.25;$107.50;0.0;
33;SuperSignal_v7_RTH15_v43(STO);Sell to Open;-1;-5.0;$5,865.75;1/14/25 3:00 PM;;$161.25;-5.0;
34;SuperSignal_v7_RTH15_v43(BTC Stop);Buy to Close;1;5.0;$5,892.50;1/14/25 4:15 PM;($133.75);($26.25);0.0;
35;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$5,979.00;1/15/25 10:45 AM;;($57.50);5.0;
36;SuperSignal_v7_RTH15_v43(STC Target);Sell to Close;-1;-5.0;$6,000.75;1/15/25 3:30 PM;$108.75;$82.50;0.0;
37;SuperSignal_v7_RTH15_v43(STO);Sell to Open;-1;-5.0;$5,982.50;1/16/25 1:30 PM;;$108.75;-5.0;
38;SuperSignal_v7_RTH15_v43(BTC Target);Buy to Close;1;5.0;$5,964.00;1/16/25 4:15 PM;$92.50;$175.00;0.0;
39;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$6,032.00;1/17/25 10:45 AM;;$211.25;5.0;
40;SuperSignal_v7_RTH15_v43(STC Daily);Sell to Close;-1;-5.0;$6,032.50;1/19/25 6:00 PM;$2.50;$177.50;0.0;
41;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$6,070.75;1/21/25 12:00 PM;;$175.00;5.0;
42;SuperSignal_v7_RTH15_v43(STC Target);Sell to Close;-1;-5.0;$6,092.00;1/21/25 4:15 PM;$106.25;$283.75;0.0;
43;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$6,121.25;1/23/25 10:45 AM;;$301.25;5.0;
44;SuperSignal_v7_RTH15_v43(STC Target);Sell to Close;-1;-5.0;$6,132.50;1/23/25 11:30 AM;$56.25;$340.00;0.0;
45;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$6,041.75;1/27/25 2:30 PM;;$273.75;5.0;
46;SuperSignal_v7_RTH15_v43(STC Stop);Sell to Close;-1;-5.0;$6,016.75;1/27/25 3:00 PM;($125.00);$215.00;0.0;
47;SuperSignal_v7_RTH15_v43(STO);Sell to Open;-1;-5.0;$6,072.75;1/29/25 12:00 PM;;$185.00;-5.0;
48;SuperSignal_v7_RTH15_v43(BTC Target);Buy to Close;1;5.0;$6,054.00;1/29/25 1:15 PM;$93.75;$308.75;0.0;
49;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$6,099.75;1/30/25 2:00 PM;;$316.25;5.0;
50;SuperSignal_v7_RTH15_v43(STC Stop);Sell to Close;-1;-5.0;$6,082.00;1/30/25 3:45 PM;($88.75);$220.00;0.0;
51;SuperSignal_v7_RTH15_v43(STO);Sell to Open;-1;-5.0;$6,101.75;1/31/25 2:00 PM;;$250.00;-5.0;
52;SuperSignal_v7_RTH15_v43(BTC Target);Buy to Close;1;5.0;$6,075.50;1/31/25 2:45 PM;$131.25;$351.25;0.0;
53;SuperSignal_v7_RTH15_v43(BTO);Buy to Open;1;5.0;$6,057.25;2/5/25 11:30 AM;;$380.00;5.0;
54;SuperSignal_v7_RTH15_v43(STC Target);Sell to Close;-1;-5.0;$6,085.75;2/5/25 4:00 PM;$142.50;$493.75;0.0;
