Strategy report
Symbol: /MES:XCME
Work Time: 12/3/24 10:30 AM - 8/20/25 10:30 AM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;SuperSignal_v7(STO Entry);Sell to Open;-1;-5.0;$6,049.00;12/3/24 10:30 AM;;($8.75);-5.0;
2;SuperSignal_v7(BTC Stop);Buy to Close;1;5.0;$6,059.00;12/3/24 11:45 AM;($50.00);($50.00);0.0;
3;SuperSignal_v7(BTO Entry);Buy to Open;1;5.0;$6,062.25;12/3/24 2:45 PM;;($38.75);5.0;
4;SuperSignal_v7(STC Target);Sell to Close;-1;-5.0;$6,067.50;12/3/24 4:15 PM;$26.25;($23.75);0.0;
5;SuperSignal_v7(STO Entry);Sell to Open;-1;-5.0;$6,077.75;12/4/24 10:15 AM;;($33.75);-5.0;
6;SuperSignal_v7(BTC Stop);Buy to Close;1;5.0;$6,086.00;12/4/24 10:45 AM;($41.25);($65.00);0.0;
7;SuperSignal_v7(BTO Entry);Buy to Open;1;5.0;$6,087.25;12/4/24 1:00 PM;;($71.25);5.0;
8;SuperSignal_v7(STC Stop);Sell to Close;-1;-5.0;$6,081.75;12/4/24 1:30 PM;($27.50);($92.50);0.0;
9;SuperSignal_v7(BTO Entry);Buy to Open;1;5.0;$6,087.00;12/4/24 2:15 PM;;($70.00);5.0;
10;SuperSignal_v7(STC Target);Sell to Close;-1;-5.0;$6,095.50;12/4/24 3:15 PM;$42.50;($50.00);0.0;
11;SuperSignal_v7(STO Entry);Sell to Open;-1;-5.0;$6,093.50;12/5/24 10:30 AM;;($53.75);-5.0;
12;SuperSignal_v7(BTC Stop);Buy to Close;1;5.0;$6,100.50;12/5/24 12:15 PM;($35.00);($85.00);0.0;
13;SuperSignal_v7(STO Entry);Sell to Open;-1;-5.0;$6,095.50;12/5/24 1:30 PM;;($107.50);-5.0;
14;SuperSignal_v7(BTC Target);Buy to Close;1;5.0;$6,082.75;12/5/24 4:30 PM;$63.75;($21.25);0.0;
15;SuperSignal_v7(BTO Entry);Buy to Open;1;5.0;$6,106.25;12/6/24 10:15 AM;;($8.75);5.0;
16;SuperSignal_v7(STC Stop);Sell to Close;-1;-5.0;$6,091.50;12/6/24 12:45 PM;($73.75);($95.00);0.0;
17;SuperSignal_v7(STO Entry);Sell to Open;-1;-5.0;$6,093.25;12/6/24 2:15 PM;;($85.00);-5.0;
18;SuperSignal_v7(BTC Stop);Buy to Close;1;5.0;$6,101.00;12/6/24 4:00 PM;($38.75);($133.75);0.0;
19;SuperSignal_v7(STO Entry);Sell to Open;-1;-5.0;$6,082.50;12/9/24 10:30 AM;;($113.75);-5.0;
20;SuperSignal_v7(BTC Target);Buy to Close;1;5.0;$6,075.25;12/9/24 11:00 AM;$36.25;($97.50);0.0;
21;SuperSignal_v7(STO Entry);Sell to Open;-1;-5.0;$6,074.00;12/9/24 2:15 PM;;($90.00);-5.0;
22;SuperSignal_v7(BTC Target);Buy to Close;1;5.0;$6,065.25;12/9/24 2:45 PM;$43.75;($53.75);0.0;
23;SuperSignal_v7(BTO Entry);Buy to Open;1;5.0;$6,073.75;12/10/24 10:45 AM;;($82.50);5.0;
24;SuperSignal_v7(STC Stop);Sell to Close;-1;-5.0;$6,064.25;12/10/24 11:15 AM;($47.50);($101.25);0.0;
25;SuperSignal_v7(STO Entry);Sell to Open;-1;-5.0;$6,059.75;12/10/24 1:15 PM;;($113.75);-5.0;
